short_name	long_name	Columnar	Pustular	Smooth
PWY-5083	NAD/NADH phosphorylation and d (PWY-5083)	57	651	246
PWY-6837	fatty acid beta-oxidation V (u (PWY-6837)	4	29	13
PWY-2464	maackiain biosynthesis (PWY-2464)	0	3	1
PWY-6482	diphthamide biosynthesis (PWY-6482)	0	9	0
PWY-6317	galactose degradation I (Leloir pathway) (PWY-6317)	27	207	93
PWY-7115	C4 photosynthetic carbon assim (PWY-7115)	35	338	161
PWY490-3	nitrate reduction VI (assimilatory) (PWY490-3)	35	363	161
P3-PWY	gallate degradation III (anaerobic) (P3-PWY)	61	492	143
PWY-5	canavanine biosynthesis (PWY-5)	8	112	51
SOPHOROSYLOXYDOCOSANOATE-DEG-PWY	sophorolipid degradation (SOPHOROSYLOXYDOCOSANOATE-DEG-PWY)	0	1	0
PWY-7035	(Z)-9-tricosene biosynthesis (PWY-7035)	25	199	71
P221-PWY	octane oxidation (P221-PWY)	34	333	118
PWY-6859	all-trans-farnesol biosynthesis (PWY-6859)	0	65	0
PWY-7159	chlorophyllide a biosynthesis III (PWY-7159)	40	294	171
CENTFERM-PWY	pyruvate fermentation to butanoate (CENTFERM-PWY)	194	673	206
PWY-5331	taurine biosynthesis (PWY-5331)	0	1	0
PWY0-1300	2-O-alpha-mannosyl-D- (PWY0-1300)	0	5	4
PWY-5519	D-arabinose degradation III (PWY-5519)	0	21	5
LYSINE-AMINOAD-PWY	lysine biosynthesis IV (LYSINE-AMINOAD-PWY)	0	51	22
PWY-5176	coumarin biosynthesis (via 2-coumarate) (PWY-5176)	9	72	57
PWY-6898	thiamin salvage III (PWY-6898)	1	4	3
PWY0-43	conversion of succinate to propionate (PWY0-43)	0	172	68
GLUCUROCAT-PWY	beta-D-glucuronide and D-glu (GLUCUROCAT-PWY)	6	58	29
ALACAT2-PWY	alanine degradation II (to D-lactate) (ALACAT2-PWY)	24	129	42
VALDEG-PWY	valine degradation I (VALDEG-PWY)	30	314	88
PWY-5885	wax esters biosynthesis II (PWY-5885)	0	217	0
PWY-5747	2-methylcitrate cycle II (PWY-5747)	0	38	0
PWY-6164	3-dehydroquinate biosynthesis I (PWY-6164)	44	113	32
TRPKYNCAT-PWY	tryptophan degradation IV (via (TRPKYNCAT-PWY)	0	0	1
ADENOSYLHOMOCYSCAT-PWY	methionine salvage II (mammalia) (ADENOSYLHOMOCYSCAT-PWY)	0	175	92
PWY-6588	pyruvate fermentation to acetone (PWY-6588)	0	158	58
PWY-5109	2-methylbutyrate biosynthesis (PWY-5109)	28	263	78
PWY-5082	methionine degradation III (PWY-5082)	11	121	39
PWY-7112	4-hydroxy-2-nonenal detoxification (PWY-7112)	33	131	52
PWY-181	photorespiration (PWY-181)	0	0	90
PWY-6324	rebeccamycin biosynthesis (PWY-6324)	0	9	2
PWY-2661	trehalose biosynthesis V (PWY-2661)	3	81	36
PWY-6549	glutamine biosynthesis III (PWY-6549)	71	843	306
PWY-5947	lutein biosynthesis (PWY-5947)	0	2	1
PWY-5177	glutaryl-CoA degradation (PWY-5177)	164	374	117
ANARESP1-PWY	respiration (anaerobic) (ANARESP1-PWY)	129	791	266
PWY-6510	methanol oxidation to formaldehyde II (PWY-6510)	0	3	8
PWY-5298	lysine degradation VI (PWY-5298)	0	8	2
PWY-6282	palmitoleate biosynthesis I (PWY-6282)	27	369	134
PWY-5810	usnate biosynthesis (PWY-5810)	0	5	2
PWY-6476	cytidylyl molybdenum cofactor  (PWY-6476)	0	1	0
SUCROSEUTIL2-PWY	sucrose degradation II (SUCROSEUTIL2-PWY)	1	2	3
PWY-1622	formaldehyde assimilation I (s (PWY-1622)	49	417	190
PWY66-399	gluconeogenesis III (PWY66-399)	73	731	266
PWY-2221	Entner-Doudoroff pathway III ( (PWY-2221)	51	430	166
PWY-1263	taurine degradation I (PWY-1263)	0	5	0
PWY-6763	salicortin biosynthesis (PWY-6763)	1	32	11
P108-PWY	pyruvate fermentation to propionate I (P108-PWY)	0	377	144
PWY-3261	UDP-L-rhamnose biosynthesis (PWY-3261)	0	1	0
PWY-5154	arginine biosynthesis III (PWY-5154)	0	545	234
PWY-901	methylglyoxal degradation II (PWY-901)	7	76	27
PWY-5726	deethylsimazine degradation (PWY-5726)	0	3	1
PWY-6362	1D-myo-inositol hexakis (PWY-6362)	0	1	0
PWY-6932	selenate reduction (PWY-6932)	13	103	53
PWY-5314	lysine degradation VIII (PWY-5314)	0	2	3
PWY-3821	galactose degradation III (PWY-3821)	45	282	125
PWY-6098	diploterol and cycloartenol biosynthesis (PWY-6098)	2	21	9
PROPIONMET-PWY	methylmalonyl pathway (PROPIONMET-PWY)	12	276	103
P122-PWY	heterolactic fermentation (P122-PWY)	102	823	347
PWY-6504	anthranilate degradation IV (aerobic) (PWY-6504)	0	0	1
PWY-5989	stearate biosynthesis II (bact (PWY-5989)	34	383	139
P163-PWY	lysine fermentation to acetate (P163-PWY)	189	464	153
PWY-6223	gentisate degradation (PWY-6223)	0	5	1
PWY-7206	pyrimidine deoxyribonucleotide (PWY-7206)	6	54	24
PWY-6075	ergosterol biosynthesis I (PWY-6075)	0	3	2
RIBITOLUTIL-PWY	ribitol degradation (RIBITOLUTIL-PWY)	7	57	34
PWY-6117	spermine and spermidine degradation I (PWY-6117)	0	0	2
SORBDEG-PWY	sorbitol degradation II (SORBDEG-PWY)	0	1	1
PWY-5419	catechol degradation to 2-oxop (PWY-5419)	0	3	4
PWY-5521	L-ascorbate biosynthesis III (PWY-5521)	1	15	3
PWY-5199	factor 420 polyglutamylation (PWY-5199)	0	3	4
PWY-6537	4-aminobutyrate degradation II (PWY-6537)	0	88	0
PWY-6333	acetaldehyde biosynthesis I (PWY-6333)	14	131	48
PWY-5964	guanylyl molybdenum cofactor b (PWY-5964)	5	14	5
PWY-6591	manganese oxidation I (PWY-6591)	0	11	2
PWY66-241	bupropion degradation (PWY66-241)	6	10	2
PWY-3661	glycine betaine degradation (PWY-3661)	0	177	62
PWY-5921	L-glutamine biosynthesis II (t (PWY-5921)	3	114	60
PWY-6529	chlorate reduction (PWY-6529)	0	3	0
PWY-6951	docosahexanoate biosynthesis II (PWY-6951)	38	364	139
PWY-5508	adenosylcobalamin biosynthesis (PWY-5508)	16	71	46
PWY-6388	(S,S)-butanediol degradation (PWY-6388)	0	5	1
PWY-6731	starch degradation III (PWY-6731)	19	125	50
PCEDEG-PWY	tetrachloroethene degradation (PCEDEG-PWY)	0	1	1
PWY-7032	alkane biosynthesis I (PWY-7032)	2	2	2
PWY-5915	phycoerythrobilin biosynthesis (PWY-5915)	0	0	1
PWY-6695	oxalate degradation II (PWY-6695)	0	44	13
PYRIDOXSYN-PWY	pyridoxal 5'-phosphate biosynthesis I (PYRIDOXSYN-PWY)	32	168	68
PWY-6642	(R)-cysteate degradation (PWY-6642)	18	0	0
PWY0-1507	biotin biosynthesis from 7-ket (PWY0-1507)	12	44	20
PWY0-1317	L-lactaldehyde degradation (aerobic) (PWY0-1317)	9	99	35
PWY-5891	menaquinol-11 biosynthesis (PWY-5891)	11	54	12
PWY-5135	xanthohumol biosynthesis (PWY-5135)	0	54	13
PWY-3722	glycine betaine biosynthesis I (PWY-3722)	0	34	10
CITRULBIO-PWY	citrulline biosynthesis (CITRULBIO-PWY)	112	855	349
PWY-5122	geranyl diphosphate biosynthesis (PWY-5122)	3	29	13
PWY1-2	alanine degradation IV (PWY1-2)	4	35	18
PWY0-1319	CDP-diacylglycerol biosynthesis II (PWY0-1319)	27	137	57
ALKANEMONOX-PWY	two-component alkanesulfonate  (ALKANEMONOX-PWY)	3	23	0
PWY-5805	nonaprenyl diphosphate biosynthesis I (PWY-5805)	1	6	3
PWY-401	glycolipid biosynthesis (PWY-401)	0	1	1
P141-PWY	atrazine degradation I (aerobic) (P141-PWY)	0	11	6
PWY-5148	acyl-CoA hydrolysis (PWY-5148)	2	20	7
PWY-6010	apigenin glycosides biosynthesis (PWY-6010)	0	0	1
PWY-6131	glycerol degradation II (PWY-6131)	2	11	6
PWY-6963	ammonia assimilation cycle I (PWY-6963)	14	159	71
PWY-5169	cyanurate degradation (PWY-5169)	5	13	7
PWY-6799	fatty acid biosynthesis (plant (PWY-6799)	6	0	0
PWY-5189	tetrapyrrole biosynthesis II ( (PWY-5189)	16	92	40
PWY-101	photosynthesis light reactions (PWY-101)	7	43	26
PWY-6316	aromatic polyketides biosynthesis (PWY-6316)	5	20	3
PWY-31	canavanine degradation (PWY-31)	1	10	5
PWY-5074	mevalonate degradation (PWY-5074)	0	22	13
PWY-6952	glycerophosphodiester degradation (PWY-6952)	6	103	46
PWY-6967	methylamine degradation I (PWY-6967)	0	2	0
PWY-6893	thiamin diphosphate biosynthes (PWY-6893)	12	69	36
PWY-5382	hydrogen oxidation II (aerobic, NAD) (PWY-5382)	4	64	34
SHIKIMATEDEG-PWY	shikimate degradation I (SHIKIMATEDEG-PWY)	1	2	0
PWY-5928	(4R)-carvone biosynthesis (PWY-5928)	1	24	13
PWY-6609	adenine and adenosine salvage III (PWY-6609)	18	56	27
PWY-5794	malonate degradation I (biotin (PWY-5794)	0	1	0
AMMOXID-PWY	ammonia oxidation I (aerobic) (AMMOXID-PWY)	1	3	1
PWY-3121	linamarin degradation (PWY-3121)	9	72	57
PWY-5704	urea degradation II (PWY-5704)	6	18	5
PWY-5884	wax esters biosynthesis I (PWY-5884)	0	2	0
PWY-5353	arachidonate biosynthesis (PWY-5353)	30	212	78
PWY-4981	proline biosynthesis II (from arginine) (PWY-4981)	9	136	48
PWY-6430	thymine degradation (PWY-6430)	1	26	8
TRNA-CHARGING-PWY	tRNA charging (TRNA-CHARGING-PWY)	207	1786	690
ARGININE-SYN4-PWY	arginine biosynthesis IV (ARGININE-SYN4-PWY)	11	217	97
PWY-6125	guanosine nucleotides de no (PWY-6125)	54	517	192
PANTO-PWY	phosphopantothenate biosynthesis I (PANTO-PWY)	5	107	56
CARNMET-PWY	carnitine degradation I (CARNMET-PWY)	0	7	2
PWY-1081	homogalacturonan degradation (PWY-1081)	0	4	2
PWY-5207	coenzyme B/coenzyme M regeneration (PWY-5207)	5	89	97
GLUT-REDOX-PWY	glutathione redox reactions II (GLUT-REDOX-PWY)	3	26	8
PWY-5890	menaquinol-10 biosynthesis (PWY-5890)	11	54	12
PWY-6675	sulfur oxidation IV (intracell (PWY-6675)	0	5	3
PWY-5826	hypoglycin biosynthesis (PWY-5826)	15	152	33
PWY-5280	lysine degradation IV (PWY-5280)	0	11	0
PWY66-388	fatty acid alpha-oxidation III (PWY66-388)	0	329	0
TRYPDEG-PWY	tryptophan degradation II (via pyruvate) (TRYPDEG-PWY)	2	19	6
PWY-6	GDP-L-fucose biosynthesis II ( (PWY-6)	0	1	3
PWY-6079	anthranilate degradation I (aerobic) (PWY-6079)	0	1	0
PWY-6518	glycocholate metabolism (bacteria) (PWY-6518)	2	21	4
ETHYL-PWY	ethylene biosynthesis I (plants) (ETHYL-PWY)	10	0	37
PWY-5129	sphingolipid biosynthesis (plants) (PWY-5129)	0	2	1
PWY-5332	sulfur reduction I (PWY-5332)	0	3	0
PWY-6133	(S)-reticuline biosynthesis II (PWY-6133)	0	13	5
ARG-PRO-PWY	arginine degradation VI (argin (ARG-PRO-PWY)	8	69	26
CITRULLINE-DEG-PWY	citrulline degradation (CITRULLINE-DEG-PWY)	2	83	32
PWY-7193	pyrimidine ribonucleosides salvage I (PWY-7193)	0	30	18
PWY-5209	methyl-coenzyme M oxidation to (PWY-5209)	3	0	0
PWY-6154	autoinducer AI-2 biosynthesis  (PWY-6154)	1	4	2
PWY-5329	L-cysteine degradation III (PWY-5329)	0	7	8
PWY-3982	uracil degradation I (reductive) (PWY-3982)	1	26	8
XYLCAT-PWY	xylose degradation I (XYLCAT-PWY)	11	87	41
PWY-5829	geraniol and geranial biosynthesis (PWY-5829)	0	28	0
PWY-6945	cholesterol degradation to and (PWY-6945)	0	351	130
PWY-3861	mannitol degradation II (PWY-3861)	0	21	12
PWY0-1477	ethanolamine utilization (PWY0-1477)	1	2	1
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	4-hydroxyphenylacetate degradation (3-HYDROXYPHENYLACETATE-DEGRADATION-PWY)	0	112	0
PWY-6791	xyloglucan degradation I (endoglucanase) (PWY-6791)	1	39	43
PWY-7197	pyrimidine deoxyribonucleotide (PWY-7197)	8	67	32
SALVPURINE2-PWY	xanthine and xanthosine salvage (SALVPURINE2-PWY)	4	17	15
PWY0-541	cyclopropane fatty acid (CFA)  (PWY0-541)	4	42	18
PWY-5985	trehalose biosynthesis VII (PWY-5985)	0	2	0
PWY-6239	luteolin glycosides biosynthesis (PWY-6239)	0	0	1
PWY-6523	intra-aerobic nitrite reduction (PWY-6523)	1	32	2
PWY0-1353	succinate to cytochrome bd< (PWY0-1353)	0	83	23
CYSTSYN-PWY	cysteine biosynthesis I (CYSTSYN-PWY)	12	144	47
PWY66-21	ethanol degradation II (PWY66-21)	33	354	110
PWY-6989	(-)-camphor degradation (PWY-6989)	0	0	1
PWY-5120	geranylgeranyldiphosphate biosynthesis (PWY-5120)	0	14	5
PWY-5168	ferulate and sinapate biosynthesis (PWY-5168)	3	9	3
PWY-5970	fatty acids biosynthesis (yeast) (PWY-5970)	2	75	27
GLUAMCAT-PWY	N-acetylglucosamine degradation I (GLUAMCAT-PWY)	11	35	17
PWY1G-0	mycothiol biosynthesis (PWY1G-0)	0	31	11
PWY-6168	flavin biosynthesis III (fungi) (PWY-6168)	0	141	0
PWY-1422	vitamin E biosynthesis (PWY-1422)	3	13	0
PPGPPMET-PWY	ppGpp biosynthesis (PPGPPMET-PWY)	27	119	35
BETSYN-PWY	glycine betaine biosynthesis I (BETSYN-PWY)	6	72	15
PWY-7179	purine deoxyribonucleosides degradation (PWY-7179)	16	36	20
PYRUVOX-PWY	pyruvate oxidation pathway (PYRUVOX-PWY)	0	9	5
PWY-7091	linustatin bioactivation (PWY-7091)	9	72	57
PWY-5059	pinobanksin biosynthesis (PWY-5059)	1	0	0
RHAMCAT-PWY	L-rhamnose degradation I (RHAMCAT-PWY)	2	13	14
PWY-695	abscisic acid biosynthesis (PWY-695)	8	3	1
ILEUSYN-PWY	isoleucine biosynthesis I (fro (ILEUSYN-PWY)	45	409	160
ENTNER-DOUDOROFF-PWY	Entner-Doudoroff pathway I (ENTNER-DOUDOROFF-PWY)	3	21	8
PWY-6032	cardenolide biosynthesis (PWY-6032)	2	15	2
PWY0-1313	acetate conversion to acetyl-CoA (PWY0-1313)	11	134	33
12DICHLORETHDEG-PWY	1,2-dichloroethane degradation (12DICHLORETHDEG-PWY)	8	34	16
PWY-6536	4-aminobutyrate degradation III (PWY-6536)	9	86	25
PWY-7204	vitamin B6 salvage (plants) (PWY-7204)	6	43	15
HISTSYN-PWY	histidine biosynthesis (HISTSYN-PWY)	34	245	110
GLUTAMATE-SYN2-PWY	glutamate biosynthesis II (GLUTAMATE-SYN2-PWY)	1	38	16
PWY-6326	camptothecin biosynthesis (PWY-6326)	0	0	6
P181-PWY	nicotine degradation I (P181-PWY)	12	101	29
CATECHOL-ORTHO-CLEAVAGE-PWY	catechol degradation to beta (CATECHOL-ORTHO-CLEAVAGE-PWY)	3	11	3
PWY-5436	threonine degradation IV (PWY-5436)	5	56	32
PWY-6737	starch degradation V (PWY-6737)	39	205	94
PWY0-1544	proline to cytochrome bo (PWY0-1544)	14	75	29
GLYCLEAV-PWY	glycine cleavage (GLYCLEAV-PWY)	25	332	116
PWY-3602	carnitine degradation II (PWY-3602)	0	2	2
PARATHION-DEGRADATION-PWY	parathion degradation (PARATHION-DEGRADATION-PWY)	2	11	4
NAGLIPASYN-PWY	lipid IVA biosynthesis (NAGLIPASYN-PWY)	16	103	33
GALACTCAT-PWY	D-galactonate degradation (GALACTCAT-PWY)	1	36	10
PWY-5996	oleate biosynthesis II (animal (PWY-5996)	4	41	12
PWY-5054	sorbitol biosynthesis I (PWY-5054)	0	73	0
PWY-6389	(S)-acetoin biosynthesis (PWY-6389)	0	163	0
MENAQUINONESYN-PWY	menaquinol-8 biosynthesis (MENAQUINONESYN-PWY)	9	47	6
PWY-7039	phosphatidate metabolism, as a (PWY-7039)	10	30	13
PWY-7118	chitin degradation to ethanol (PWY-7118)	32	232	83
GLYOXYLATE-BYPASS	glyoxylate cycle (GLYOXYLATE-BYPASS)	39	418	111
ORN-AMINOPENTANOATE-CAT-PWY	ornithine degradation I (proli (ORN-AMINOPENTANOATE-CAT-PWY)	3	42	5
DENITRIFICATION-PWY	nitrate reduction I (denitrification) (DENITRIFICATION-PWY)	18	147	35
PWY-6892	thiazole biosynthesis I (E. coli) (PWY-6892)	25	193	80
PWY-3301	sinapate ester biosynthesis (PWY-3301)	0	2	0
PWY-5534	propylene degradation (PWY-5534)	0	3	1
PWY0-662	PRPP biosynthesis I (PWY0-662)	1	65	27
NONMEVIPP-PWY	methylerythritol phosphate pathway (NONMEVIPP-PWY)	27	273	98
PWY-5490	paraoxon degradation (PWY-5490)	2	11	4
PWY-5250	methanogenesis from trimethylamine (PWY-5250)	0	40	23
GLUCONEO-PWY	gluconeogenesis I (GLUCONEO-PWY)	91	912	317
P162-PWY	glutamate degradation V (via h (P162-PWY)	72	446	135
PWY-5943	beta-carotene biosynthesis (PWY-5943)	0	3	0
PWYG-321	mycolate biosynthesis (PWYG-321)	39	540	196
PWY-6351	D-myo-inositol (1,4,5)- (PWY-6351)	0	4	1
PWY-5912	2'-deoxymugineic acid phytosid (PWY-5912)	0	81	0
PWY0-862	cis-dodecenoyl biosynthesis (PWY0-862)	16	255	102
PWY-5533	acetone degradation II (to acetoacetate) (PWY-5533)	6	98	47
PWY0-901	selenocysteine biosynthesis I (bacteria) (PWY0-901)	9	105	40
CHOLINE-BETAINE-ANA-PWY	choline degradation I (CHOLINE-BETAINE-ANA-PWY)	6	72	15
PWY-2161	folate polyglutamylation (PWY-2161)	20	134	73
PWY-5654	2-amino-3-carboxymuconate semi (PWY-5654)	0	8	0
PWY-5515	L-arabinose degradation II (PWY-5515)	1	4	3
PWY-6423	hemoglobin degradation (PWY-6423)	0	10	1
P101-PWY	ectoine biosynthesis (P101-PWY)	34	150	0
PWY-6748	nitrate reduction VII (denitrification) (PWY-6748)	14	146	33
PWY-862	fructan degradation (PWY-862)	0	4	1
PWY-6611	adenine and adenosine salvage V (PWY-6611)	20	0	0
PWY0-1299	arginine dependent acid resistance (PWY0-1299)	10	37	15
PWY0-1356	formate to dimethyl sulfoxide  (PWY0-1356)	0	3	0
PWY-6790	L-arabinan degradation (PWY-6790)	0	8	5
PWY-6690	cinnamate and 3-hydroxycinnama (PWY-6690)	0	3	0
PWY-5381	pyridine nucleotide cycling (plants) (PWY-5381)	25	263	102
ALANINE-SYN2-PWY	alanine biosynthesis II (ALANINE-SYN2-PWY)	0	0	1
DARABCATK12-PWY	D-arabinose degradation I (DARABCATK12-PWY)	0	42	0
PWY-6147	6-hydroxymethyl-dihydropterin  (PWY-6147)	8	74	21
MANNCAT-PWY	D-mannose degradation (MANNCAT-PWY)	2	18	10
ASPARAGINE-DEG1-PWY	asparagine degradation I (ASPARAGINE-DEG1-PWY)	8	27	14
P124-PWY	Bifidobacterium shunt (P124-PWY)	111	815	353
PWY66-391	fatty acid beta-oxidation VI (PWY66-391)	0	545	180
PWY-361	phenylpropanoid biosynthesis (PWY-361)	6	54	17
PWY-2941	lysine biosynthesis II (PWY-2941)	0	256	101
PWY-3	putrescine degradation V (PWY-3)	0	4	0
PWY-5450	benzene degradation (PWY-5450)	0	1	0
P261-PWY	coenzyme M biosynthesis I (P261-PWY)	4	16	4
PWY-5744	glyoxylate assimilation (PWY-5744)	8	113	66
PWY-5691	urate degradation to allantoin (PWY-5691)	1	19	4
4-HYDROXYMANDELATE-DEGRADATION-PWY	4-hydroxymandelate degradation (4-HYDROXYMANDELATE-DEGRADATION-PWY)	0	21	0
PWY-6132	lanosterol biosynthesis (PWY-6132)	0	0	1
PROSYN-PWY	proline biosynthesis I (PROSYN-PWY)	17	150	45
PWY-4281	proline biosynthesis IV (PWY-4281)	0	3	0
GLUTAMINEFUM-PWY	glutamine degradation II (GLUTAMINEFUM-PWY)	6	123	59
PWY0-501	lipoate biosynthesis and incorporation I (PWY0-501)	8	56	15
LYSINE-DEG1-PWY	lysine degradation II (LYSINE-DEG1-PWY)	3	26	9
FERMENTATION-PWY	mixed acid fermentation (FERMENTATION-PWY)	151	945	338
PWY-6107	chlorosalicylate degradation (PWY-6107)	2	4	1
PWY-6163	chorismate biosynthesis from 3 (PWY-6163)	28	162	73
PWY66-400	glycolysis VI (mammalian) (PWY66-400)	68	664	274
P601-PWY	(+)-camphor degradation (P601-PWY)	0	0	1
PWY-5834	CDP-tyvelose biosynthesis (PWY-5834)	1	13	10
PWY-6241	thyroid hormone biosynthesis (PWY-6241)	1	0	0
PWY-7199	pyrimidine deoxyribonucleosides salvage (PWY-7199)	7	59	19
PWY6666-2	dopamine degradation (PWY6666-2)	9	89	21
TRESYN-PWY	trehalose biosynthesis I (TRESYN-PWY)	1	50	24
PWY-6708	ubiquinol-8 biosynthesis (prokaryotic) (PWY-6708)	11	119	47
PWY-5766	glutamate degradation X (PWY-5766)	1	38	16
PWY-6644	fluoroacetate and fluorothreon (PWY-6644)	12	104	36
PWY-6964	ammonia assimilation cycle II (PWY-6964)	25	277	117
SALVADEHYPOX-PWY	adenosine nucleotides degradation II (SALVADEHYPOX-PWY)	30	137	65
