PWY_NAME	PWY_COMMON_NAME	NUM_REACTIONS	NUM_COVERED_REACTIONS	ORF_COUNT
P105-PWY	TCA cycle IV (2-oxoglutarate decarboxylase)	11	10	250
PWY66-398	TCA cycle VII (mammalian)	10	9	186
PWY-5913	TCA cycle VI (obligate autotrophs)	11	11	388
PWY-3781	aerobic respiration (cytochrome c)	4	4	340
PWY-4601	arsenate reduction (respiratory)	1	1	2
ANARESP1-PWY	respiration (anaerobic)	13	13	266
PWY66-400	glycolysis VI (mammalian)	10	9	274
ANAGLYCOLYSIS-PWY	glycolysis III (glucokinase)	10	10	289
GLYCOLYSIS	glycolysis I	11	11	340
PWY-1042	glycolysis IV (plant cytosol)	10	10	254
PWY66-368	ketolysis	3	2	41
PWY-6118	glycerol-3-phosphate shuttle	2	2	40
PWY66-367	ketogenesis	5	5	63
PYRUVOX-PWY	pyruvate oxidation pathway	1	1	5
PWY0-1329	succinate to cytochrome bo oxidase electron transfer	2	2	50
PWY0-1335	NADH to cytochrome bo oxidase electron transfer	2	2	257
PWY0-1334	NADH to cytochrome bd oxidase electron transfer	2	2	230
PWY0-1353	succinate to cytochrome bd oxidase electron transfer	2	2	23
PWY0-1544	proline to cytochrome bo oxidase electron transfer	2	2	29
PWY-6992	1,5-anhydrofructose degradation	2	1	2
PWY-7118	chitin degradation to ethanol	6	5	83
PWY-6728	methylaspartate cycle	18	15	359
PWY-5723	Rubisco shunt	10	10	236
GLYOXYLATE-BYPASS	glyoxylate cycle	6	6	111
ENTNER-DOUDOROFF-PWY	Entner-Doudoroff pathway I	2	2	8
PWY-4621	arsenate detoxification II (glutaredoxin)	1	1	13
PWY-6421	arsenate detoxification III (mycothiol)	4	1	8
PWY-4521	arsenite oxidation (respiratory)	1	1	2
PWY-7142	cyanide detoxification II	2	2	9
PWY0-1299	arginine dependent acid resistance	1	1	15
PWY0-1305	glutamate dependent acid resistance	1	1	6
P641-PWY	phenylmercury acetate degradation	2	1	20
PWY-6842	glutathione-mediated detoxification II	8	3	52
DETOX1-PWY	superoxide radicals degradation	2	2	59
PWY-6646	fluoroacetate degradation	1	1	1
PWY-6966	methanol oxidation to formaldehyde I	1	1	1
PWY-6510	methanol oxidation to formaldehyde II	1	1	8
PWY-1861	formaldehyde assimilation II (RuMP Cycle)	9	8	205
PWY-1622	formaldehyde assimilation I (serine pathway)	13	9	190
PWY-5392	reductive TCA cycle II	12	10	259
P42-PWY	incomplete reductive TCA cycle	7	7	244
P23-PWY	reductive TCA cycle I	12	12	361
PWY-5743	3-hydroxypropionate cycle	11	9	171
PWY-5789	3-hydroxypropionate/4-hydroxybutyrate cycle	17	14	272
CODH-PWY	reductive acetyl coenzyme A pathway	8	6	75
PWYQT-4429	CO2 fixation into oxaloacetate (anapleurotic)	2	2	33
PWY-5493	reductive monocarboxylic acid cycle	2	2	37
RUMP-PWY	formaldehyde oxidation I	6	4	49
PWY-1801	formaldehyde oxidation II (glutathione-dependent)	3	3	15
PWY-1722	formaldehyde oxidation V (tetrahydrofolate pathway)	4	3	44
PWY-1881	formate oxidation to CO2	1	1	36
PWY0-1315	L-lactaldehyde degradation (anaerobic)	1	1	4
PWY0-1317	L-lactaldehyde degradation (aerobic)	2	2	35
PWY-5458	methylglyoxal degradation V	3	2	37
MGLDLCTANA-PWY	methylglyoxal degradation VI	4	2	42
PWY-5386	methylglyoxal degradation I	3	3	37
PWY-901	methylglyoxal degradation II	2	2	27
PWY-5533	acetone degradation II (to acetoacetate)	2	1	47
PWY-5451	acetone degradation I (to methylglyoxal)	4	2	3
PWY-2724	alkane oxidation	6	1	16
PWY-6837	fatty acid beta-oxidation V (unsaturated, odd number, di-isomerase-dependent)	5	2	13
FAO-PWY	fatty acid beta-oxidation I	7	6	235
PWY66-387	fatty acid alpha-oxidation II	6	4	121
PWY0-1337	oleate beta-oxidation	3	1	1
PWY-5138	unsaturated, even numbered fatty acid beta-oxidation	6	5	52
PWY66-391	fatty acid beta-oxidation VI (peroxisome)	7	6	180
PWY-2501	fatty acid alpha-oxidation I	4	1	16
PWY-7119	sphingolipid recycling and degradation (yeast)	11	2	2
PWY3DJ-11470	sphingosine and sphingosine-1-phosphate metabolism	5	1	1
LIPAS-PWY	triacylglycerol degradation	4	2	11
PWY-5535	acetate formation from acetyl-CoA II	1	1	22
PWY0-1312	acetate formation from acetyl-CoA I	2	2	25
GLYCOLATEMET-PWY	glycolate and glyoxylate degradation I	4	3	44
GLYOXDEG-PWY	glycolate and glyoxylate degradation II	2	2	35
PWY-6961	L-ascorbate degradation II (bacterial, aerobic)	8	2	4
PWY-6695	oxalate degradation II	4	1	13
PWY-6060	malonate degradation II (biotin-dependent)	4	1	1
PWY0-43	conversion of succinate to propionate	3	2	68
PWY0-42	2-methylcitrate cycle I	5	4	22
PROPIONMET-PWY	methylmalonyl pathway	3	3	103
PWY-6038	citrate degradation	5	2	6
PWY-6373	acrylate degradation	4	2	5
PWY-5534	propylene degradation	7	1	1
PYRUVDEHYD-PWY	pyruvate decarboxylation to acetyl CoA	3	3	122
PWY0-1465	D-malate degradation	1	1	7
PWY0-1313	acetate conversion to acetyl-CoA	1	1	33
PWY-5074	mevalonate degradation	2	2	13
GLUCONSUPER-PWY	D-gluconate degradation	1	1	6
PWY-2361	3-oxoadipate degradation	2	2	6
PWY-5162	2-oxopentenoate degradation	3	3	20
PWY-5177	glutaryl-CoA degradation	5	5	117
PWY66-221	nicotine degradation III	18	4	2
PWY66-201	nicotine degradation IV	16	3	3
P181-PWY	nicotine degradation I	16	3	29
PWY-743	thiocyanate degradation II	2	1	2
P221-PWY	octane oxidation	5	3	118
P344-PWY	acrylonitrile degradation	3	2	17
PWY66-241	bupropion degradation	5	1	2
PWY-4061	glutathione-mediated detoxification I	5	3	52
PWY-6518	glycocholate metabolism (bacteria)	7	2	4
PWY-5744	glyoxylate assimilation	11	7	66
PWY-7112	4-hydroxy-2-nonenal detoxification	4	2	52
PWY-723	alkylnitronates degradation	2	2	16
PWY-6756	S-methyl-5'-thioadenosine degradation II	1	1	11
PWY-6754	S-methyl-5'-thioadenosine degradation I	2	2	4
PWY-7181	pyrimidine deoxyribonucleosides degradation	3	3	16
PWY-7185	UTP and CTP dephosphorylation I	7	5	81
PWY0-1295	pyrimidine ribonucleosides degradation	2	2	9
PWY-6430	thymine degradation	3	2	8
PWY-6607	guanosine nucleotides degradation I	4	3	47
PWY-6608	guanosine nucleotides degradation III	4	4	60
SALVADEHYPOX-PWY	adenosine nucleotides degradation II	5	4	65
PWY-6596	adenosine nucleotides degradation I	8	6	73
PWY-6617	adenosine nucleotides degradation III	1	1	1
PWY0-1296	purine ribonucleosides degradation	5	4	21
PWY-7179	purine deoxyribonucleosides degradation	4	3	20
P164-PWY	purine nucleobases degradation I (anaerobic)	17	9	129
PWY-5497	purine nucleobases degradation II (anaerobic)	22	13	199
PWY-6019	pseudouridine degradation	2	2	14
12DICHLORETHDEG-PWY	1,2-dichloroethane degradation	4	2	16
PCEDEG-PWY	tetrachloroethene degradation	4	1	1
PWY-5419	catechol degradation to 2-oxopent-4-enoate II	4	2	4
CATECHOL-ORTHO-CLEAVAGE-PWY	catechol degradation to beta-ketoadipate	4	2	3
PWY-5055	nicotinate degradation III	9	4	5
PWY-6077	anthranilate degradation II (aerobic)	2	1	1
PWY-6504	anthranilate degradation IV (aerobic)	1	1	1
P3-PWY	gallate degradation III (anaerobic)	11	5	143
PWY-6183	salicylate degradation I	1	1	1
PWY-6416	quinate degradation II	3	2	21
PWY-6193	3-chlorocatechol degradation II (ortho)	5	1	14
PWY-6200	2,4,5-trichlorophenoxyacetate degradation	9	1	2
PWY-6107	chlorosalicylate degradation	7	2	1
PWY-1361	benzoyl-CoA degradation I (aerobic)	8	3	35
P321-PWY	benzoyl-CoA degradation III (anaerobic)	9	3	6
CENTBENZCOA-PWY	benzoyl-CoA degradation II (anaerobic)	6	2	3
PWY-5691	urate degradation to allantoin	3	2	4
P141-PWY	atrazine degradation I (aerobic)	3	2	6
PWY-5726	deethylsimazine degradation	2	1	1
PWY-5418	phenol degradation I (aerobic)	1	1	6
PWY0-321	phenylacetate degradation I (aerobic)	9	4	93
PWY-7046	4-coumarate degradation (anaerobic)	6	2	49
PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY	protocatechuate degradation II (ortho-cleavage pathway)	4	2	7
TOLUENE-DEG-2-OH-PWY	toluene degradation to 2-oxopent-4-enoate I (via o-cresol)	4	1	2
TOLUENE-DEG-4-OH-PWY	toluene degradation to protocatechuate (via p-cresol)	4	1	1
PWY-6223	gentisate degradation	3	1	1
PWY-7002	4-hydroxyacetophenone degradation	5	2	2
PWY-6550	carbazole degradation	4	1	1
PWY-5169	cyanurate degradation	3	2	7
PARATHION-DEGRADATION-PWY	parathion degradation	2	1	4
PWY-6184	methylsalicylate degradation	2	2	1
PWY-5489	methyl parathion degradation	1	1	4
PWY-5490	paraoxon degradation	1	1	4
PWY-6423	hemoglobin degradation	7	1	1
PWY-5988	wound-induced proteolysis I	1	1	43
PWY-6018	seed germination protein turnover	1	1	43
TYRFUMCAT-PWY	tyrosine degradation I	5	3	25
PWY-5057	valine degradation II	3	2	61
VALDEG-PWY	valine degradation I	8	7	88
ORN-AMINOPENTANOATE-CAT-PWY	ornithine degradation I (proline biosynthesis)	1	1	5
CITRULLINE-DEG-PWY	citrulline degradation	2	2	32
PWY-5082	methionine degradation III	3	1	39
METHIONINE-DEG1-PWY	methionine degradation I (to homocysteine)	3	2	69
PWY-701	methionine degradation II	1	1	9
PWY-6318	phenylalanine degradation IV (mammalian, via side chain)	9	3	91
PHENYLALANINE-DEG1-PWY	phenylalanine degradation I (aerobic)	3	2	7
PWY-5079	phenylalanine degradation III	4	2	40
PWY-7158	phenylalanine degradation V	3	3	8
GLYCLEAV-PWY	glycine cleavage	3	3	116
ASPARAGINE-DEG1-PWY	asparagine degradation I	1	1	14
HYDROXYPRODEG-PWY	4-hydroxyproline degradation I	4	2	20
PWY-5159	4-hydroxyproline degradation II	4	2	2
PWY-5078	isoleucine degradation II	3	2	61
ILEUDEG-PWY	isoleucine degradation I	6	4	97
AST-PWY	arginine degradation II (AST pathway)	5	3	23
ARGDEG-V-PWY	arginine degradation X (arginine monooxygenase pathway)	3	2	15
ARGDEG-III-PWY	arginine degradation IV (arginine decarboxylase/agmatine deiminase pathway)	3	3	21
ARG-GLU-PWY	arginine degradation VII (arginase 3 pathway)	2	2	10
P162-PWY	glutamate degradation V (via hydroxyglutarate)	7	5	135
PWY-5087	glutamate degradation VI (to pyruvate)	4	2	4
PWY-5766	glutamate degradation X	1	1	16
GLUDEG-I-PWY	glutamate degradation III (via 4-aminobutyrate)	3	3	31
PWY-5329	L-cysteine degradation III	2	2	8
LCYSDEG-PWY	L-cysteine degradation II	1	1	2
MALATE-ASPARTATE-SHUTTLE-PWY	aspartate degradation II	2	2	79
PWY-5437	threonine degradation I	4	3	11
PWY-5436	threonine degradation IV	2	2	32
THREONINE-DEG2-PWY	threonine degradation II	2	2	18
PWY-5076	leucine degradation III	3	2	61
LEU-DEG2-PWY	leucine degradation I	6	5	64
PWY-1781	beta-alanine degradation II	2	1	8
BETA-ALA-DEGRADATION-I-PWY	beta-alanine degradation I	2	1	13
PWY-5028	histidine degradation II	5	4	41
HISDEG-PWY	histidine degradation I	4	4	40
PWY-5030	histidine degradation III	6	6	54
PWY1-2	alanine degradation IV	1	1	18
ALACAT2-PWY	alanine degradation II (to D-lactate)	3	3	42
PROUT-PWY	proline degradation	2	1	33
TRPKYNCAT-PWY	tryptophan degradation IV (via indole-3-lactate)	2	1	1
PWY-6307	tryptophan degradation X (mammalian, via tryptamine)	4	3	21
PWY-5081	tryptophan degradation VIII (to tryptophol)	4	1	1
PWY-5651	tryptophan degradation to 2-amino-3-carboxymuconate semialdehyde	5	3	9
TRYPDEG-PWY	tryptophan degradation II (via pyruvate)	1	1	6
TRPCAT-PWY	tryptophan degradation I (via anthranilate)	3	3	9
SERDEG-PWY	L-serine degradation	1	1	5
PWY0-1535	D-serine degradation	1	1	1
LYSDEGII-PWY	lysine degradation III	6	1	5
P163-PWY	lysine fermentation to acetate and butyrate	10	7	153
PWY-6328	lysine degradation X	6	2	8
LYSINE-DEG1-PWY	lysine degradation II	6	3	9
PWY-5298	lysine degradation VI	3	1	2
PWY-5314	lysine degradation VIII	2	1	3
GLUTAMINEFUM-PWY	glutamine degradation II	1	1	59
GLUTAMINDEG-PWY	glutamine degradation I	1	1	268
PWY-6344	ornithine degradation II (Stickland reaction)	9	5	29
PWY-5084	2-oxoglutarate decarboxylation to succinyl-CoA	3	3	99
PWY-5046	2-oxoisovalerate decarboxylation to isobutanoyl-CoA	3	3	69
PWY-6591	manganese oxidation I	2	1	2
PWY-5350	thiosulfate disproportionation III (rhodanese)	1	1	18
PWY-5352	thiosulfate disproportionation II (non thiol-dependent)	1	1	4
PWY-5277	thiosulfate disproportionation I (thiol-dependent)	1	1	4
DISSULFRED-PWY	sulfate reduction IV (dissimilatory)	5	3	66
P224-PWY	sulfate reduction V (dissimilatory)	5	3	70
PWY-6637	sulfolactate degradation II	4	2	10
PWY-6638	sulfolactate degradation III	4	2	63
PWY-5364	sulfur reduction II (via polysulfide)	2	1	7
PWY-5276	sulfite oxidation I (sulfite oxidoreductase)	1	1	12
PWY-5278	sulfite oxidation III	2	2	63
PWY-5326	sulfite oxidation IV	1	1	1
PWY-5358	tetrathionate reduction I (to thiosulfate)	1	1	1
PWY-6675	sulfur oxidation IV (intracellular sulfur)	5	1	3
FESULFOX-PWY	sulfur oxidation II (Fe<sup>+3</sup>-dependent)	3	1	1
PWY-6046	dimethylsulfoniopropionate degradation I (cleavage)	1	1	1
PWY-5340	sulfate activation for sulfonation	2	2	72
PHOSPHONOTASE-PWY	2-aminoethylphosphonate degradation I	3	3	20
PWY-6348	phosphate acquisition	1	1	9
PWY-6357	phosphate utilization in cell wall regeneration	1	1	9
P483-PWY	phosphonoacetate degradation	1	1	1
P303-PWY	ammonia oxidation II (anaerobic)	5	2	3
AMMOXID-PWY	ammonia oxidation I (aerobic)	2	1	1
PWY-6964	ammonia assimilation cycle II	2	2	117
PWY-6963	ammonia assimilation cycle I	2	2	71
PWY-5674	nitrate reduction IV (dissimilatory)	2	2	12
PWY490-3	nitrate reduction VI (assimilatory)	4	4	161
DENITRIFICATION-PWY	nitrate reduction I (denitrification)	4	4	35
PWY-6748	nitrate reduction VII (denitrification)	4	4	33
PWY-6523	intra-aerobic nitrite reduction	2	1	2
N2FIX-PWY	nitrogen fixation	1	1	46
PWY-4984	urea cycle	5	5	85
PWY-5934	iron reduction and absorption	2	1	2
PWY-6932	selenate reduction	5	1	53
PWY-6952	glycerophosphodiester degradation	2	2	46
PWY-4261	glycerol degradation I	2	2	42
PWY-6131	glycerol degradation II	2	2	6
GLYCEROLMETAB-PWY	glycerol degradation V	2	2	2
PWY3O-246	(R,R)-butanediol degradation	1	1	1
PWY-6388	(S,S)-butanediol degradation	1	1	1
PWY66-21	ethanol degradation II	3	3	110
PWY66-162	ethanol degradation IV	3	3	95
ETOH-ACETYLCOA-ANA-PWY	ethanol degradation I	2	2	65
PWY0-1280	ethylene glycol degradation	2	1	3
PWY-6464	polyvinyl alcohol degradation	2	1	2
PWY66-389	phytol degradation	4	4	149
PWY-5874	heme degradation	2	1	1
PWY-5519	D-arabinose degradation III	5	3	5
DARABCAT-PWY	D-arabinose degradation II	3	3	45
PWY-6693	galactose degradation IV	8	3	17
PWY-6317	galactose degradation I (Leloir pathway)	6	5	93
PWY-5515	L-arabinose degradation II	3	2	3
ARABCAT-PWY	L-arabinose degradation I	3	3	24
PWY66-373	sucrose degradation V (mammalian)	6	3	51
PWY-5384	sucrose degradation IV	5	4	60
SUCROSEUTIL2-PWY	sucrose degradation II	3	1	3
PWY-621	sucrose degradation III	8	4	58
RHAMCAT-PWY	L-rhamnose degradation I	3	2	14
PWY-2722	trehalose degradation IV	3	3	24
TREDEGLOW-PWY	trehalose degradation I (low osmolarity)	2	2	16
PWY-2721	trehalose degradation III	2	2	15
PWY0-1182	trehalose degradation II (trehalase)	3	3	29
XYLCAT-PWY	xylose degradation I	2	2	41
LACTOSECAT-PWY	lactose and galactose degradation I	4	2	5
LACTOSEUTIL-PWY	lactose degradation II	3	2	46
BGALACT-PWY	lactose degradation III	1	1	43
FUCCAT-PWY	fucose degradation	3	2	21
GLUCOSE1PMETAB-PWY	glucose and glucose-1-phosphate degradation	6	5	51
PWY-3861	mannitol degradation II	3	2	12
PWY4FS-12	VTC2 cycle	2	1	1
NPGLUCAT-PWY	Entner-Doudoroff pathway II (non-phosphorylative)	10	8	118
PWY-6527	stachyose degradation	8	6	109
PWY0-1301	melibiose degradation	1	1	22
PWY-2221	Entner-Doudoroff pathway III (semi-phosphorylative)	10	10	166
MANNCAT-PWY	D-mannose degradation	1	1	10
PWY-7180	2'-deoxy-alpha-D-ribose 1-phosphate degradation	3	3	29
P124-PWY	Bifidobacterium shunt	15	15	353
MALTOSECAT-PWY	maltose degradation	2	2	25
PWY-1081	homogalacturonan degradation	2	2	2
P302-PWY	L-sorbose degradation	2	2	3
PWY0-1300	2-O-alpha-mannosyl-D-glycerate degradation	2	2	4
PWY0-1314	fructose degradation	1	1	1
RIBOKIN-PWY	ribose degradation	3	2	10
PWY-6028	acetoin degradation	2	2	49
PWY-6788	cellulose degradation II (fungi)	3	2	83
PWY-6576	dermatan sulfate degradation (metazoa)	4	2	30
PWY-6573	chondroitin sulfate degradation (metazoa)	4	3	45
PWY-6717	(1,4)-beta-xylan degradation	2	1	6
PWY-6807	xyloglucan degradation II (exoglucanase)	6	3	43
PWY-6791	xyloglucan degradation I (endoglucanase)	6	3	43
PWY-6731	starch degradation III	5	4	50
PWY-6737	starch degradation V	6	6	94
PWY-6906	chitin derivatives degradation	7	3	18
PWY-6902	chitin degradation II	5	5	26
PWY-5941	glycogen degradation II	5	5	79
PWY-6790	L-arabinan degradation	2	1	5
PWY-6816	agarose degradation	2	1	1
PWY-6815	porphyran degradation	6	2	1
PWY0-1546	muropeptide degradation	4	2	2
PWY-6117	spermine and spermidine degradation I	5	2	2
PWY-4722	creatinine degradation II	5	3	43
CRNFORCAT-PWY	creatinine degradation I	4	3	33
PWY-5697	allantoin degradation to ureidoglycolate I (urea producing)	2	1	2
PWY-5698	allantoin degradation to ureidoglycolate II (ammonia producing)	3	1	2
PWY-5703	urea degradation I	2	1	6
PWY-5704	urea degradation II	1	1	5
PWY-3602	carnitine degradation II	4	1	2
CARNMET-PWY	carnitine degradation I	4	1	2
PWY-5022	4-aminobutyrate degradation V	8	6	119
PWY-6536	4-aminobutyrate degradation III	2	2	25
PWY-6535	4-aminobutyrate degradation I	2	2	25
PWY-0	putrescine degradation III	4	2	31
PWY0-1221	putrescine degradation II	4	2	4
PWY0-1324	N-acetylneuraminate and N-acetylmannosamine degradation	3	1	3
PWY6666-2	dopamine degradation	5	2	21
PWY0-1477	ethanolamine utilization	1	1	1
PWY-3661	glycine betaine degradation	5	5	62
PWY-5927	(4S)-carveol and (4S)-dihydrocarveol degradation	14	1	1
P601-PWY	(+)-camphor degradation	8	1	1
PWY-6989	(-)-camphor degradation	8	1	1
PWY-6672	cis-genanyl-CoA degradation	9	2	35
PWY-6670	citronellol degradation	4	3	5
PWY-6002	lotaustralin degradation	2	1	57
PWY-7092	neolinustatin bioactivation	3	2	57
PWY-3121	linamarin degradation	2	1	57
PWY-7091	linustatin bioactivation	4	2	57
PWY-7089	taxiphyllin bioactivation	1	1	57
PWY-5461	betanidin degradation	1	1	5
PWY-31	canavanine degradation	2	1	5
GLUAMCAT-PWY	N-acetylglucosamine degradation I	2	2	17
GALACTUROCAT-PWY	D-galacturonate degradation I	4	3	25
GLUCARDEG-PWY	D-glucarate degradation I	4	3	14
GALACTARDEG-PWY	D-galactarate degradation I	4	3	14
PWY-5525	D-glucuronate degradation I	4	2	3
GLUCUROCAT-PWY	beta-D-glucuronide and D-glucuronate degradation	5	4	29
GALACTCAT-PWY	D-galactonate degradation	3	1	10
IDNCAT-PWY	L-idonate degradation	3	2	13
DHGLUCONATE-PYR-CAT-PWY	glucose degradation (oxidative)	5	4	38
PWY-4702	phytate degradation I	14	3	26
P562-PWY	myo-inositol degradation	6	3	13
LARABITOLUTIL-PWY	xylitol degradation	2	2	23
PWY-4101	sorbitol degradation I	1	1	8
SORBDEG-PWY	sorbitol degradation II	1	1	1
MANNIDEG-PWY	mannitol degradation I	1	1	1
RIBITOLUTIL-PWY	ribitol degradation	3	3	34
PWY-6507	5-dehydro-4-deoxy-D-glucuronate degradation	4	3	14
PWY0-1261	1,6-anhydro-N-acetylmuramic acid recycling	2	2	2
PWY-6945	cholesterol degradation to androstenedione I (cholesterol oxidase)	17	7	130
PWY-6946	cholesterol degradation to androstenedione II (cholesterol dehydrogenase)	17	7	132
PWY-6948	sitosterol degradation to androstenedione	18	4	58
PWY-6944	androstenedione degradation	15	4	104
PWY-6943	testosterone and androsterone degradation to androstendione	3	2	3
PWY-6261	thyroid hormone metabolism II (via conjugation and/or degradation)	15	2	5
PWY-6398	melatonin degradation I	5	4	7
PWY-6435	4-hydroxybenzoate biosynthesis V	5	5	103
PWY-6164	3-dehydroquinate biosynthesis I	2	2	32
PWY-6163	chorismate biosynthesis from 3-dehydroquinate	6	5	73
PWY-5901	2,3-dihydroxybenzoate biosynthesis	3	1	1
PYRIDNUCSAL-PWY	NAD salvage pathway I	8	5	77
PYRIDNUCSYN-PWY	NAD biosynthesis I (from aspartate)	6	6	98
NAD-BIOSYNTHESIS-III	NAD biosynthesis III	2	2	2
PWY-5083	NAD/NADH phosphorylation and dephosphorylation	6	3	246
PWY-5381	pyridine nucleotide cycling (plants)	11	6	102
NADPHOS-DEPHOS-PWY	NAD phosphorylation and dephosphorylation	3	2	33
PWY-5852	demethylmenaquinol-8 biosynthesis I	1	1	10
PWY-5853	demethylmenaquinol-6 biosynthesis	1	1	9
PWY-5851	demethylmenaquinol-9 biosynthesis	1	1	9
PWY-5839	menaquinol-7 biosynthesis	2	1	15
PWY-5890	menaquinol-10 biosynthesis	2	1	12
PWY-5849	menaquinol-6 biosynthesis	1	1	6
PWY-5844	menaquinol-9 biosynthesis	1	1	3
MENAQUINONESYN-PWY	menaquinol-8 biosynthesis	1	1	6
PWY-5891	menaquinol-11 biosynthesis	2	2	12
PWY-5895	menaquinol-13 biosynthesis	2	2	12
PWY-5892	menaquinol-12 biosynthesis	2	2	12
PWY-5873	ubiquinol-7 biosynthesis (eukaryotic)	8	1	11
PWY-5872	ubiquinol-10 biosynthesis (eukaryotic)	8	1	11
PWY3O-19	ubiquinol-6 biosynthesis (eukaryotic)	8	2	11
PWY-5871	ubiquinol-9 biosynthesis (eukaryotic)	8	1	11
PWY-5870	ubiquinol-8 biosynthesis (eukaryotic)	9	3	23
PWY-6708	ubiquinol-8 biosynthesis (prokaryotic)	8	5	47
PWY-6978	plastoquinol-9 biosynthesis II	3	1	4
PWY-5837	1,4-dihydroxy-2-naphthoate biosynthesis I	7	5	24
PWY-6857	retinol biosynthesis	7	4	23
PWY-6268	adenosylcobalamin salvage from cobalamin	1	1	16
PWY-5509	adenosylcobalamin biosynthesis from cobyrinate a,c-diamide I	8	7	46
PWY-5508	adenosylcobalamin biosynthesis from cobyrinate a,c-diamide II	9	7	46
PWY-6578	7-keto-8-aminopelargonate biosynthesis III	2	1	20
PWY-6519	7-keto-8-aminopelargonate biosynthesis I	11	7	168
PWY0-1507	biotin biosynthesis from 7-keto-8-aminopelargonate	3	3	20
PWY-7204	vitamin B6 salvage (plants)	9	6	15
PYRIDOXSYN-PWY	pyridoxal 5'-phosphate biosynthesis I	8	7	68
PWY3DJ-35471	L-ascorbate biosynthesis IV	7	5	63
PWY-882	L-ascorbate biosynthesis I (L-galactose pathway)	8	4	67
PWY-5521	L-ascorbate biosynthesis III	4	2	3
PWY-6147	6-hydroxymethyl-dihydropterin diphosphate biosynthesis I	5	3	21
PWY-6797	6-hydroxymethyl-dihydropterin diphosphate biosynthesis II (archaea)	7	3	4
PWY-2201	folate transformations I	12	8	195
1CMET2-PWY	formylTHF biosynthesis I	12	11	211
PWY-2161	folate polyglutamylation	5	5	73
PWY-6613	tetrahydrofolate salvage from 5,10-methenyltetrahydrofolate	2	2	20
PWY-6543	4-aminobenzoate biosynthesis	2	2	38
PWY-6614	tetrahydrofolate biosynthesis	3	3	16
PANTO-PWY	phosphopantothenate biosynthesis I	4	4	56
PWY-6896	thiamin salvage I	2	1	15
PWY-6899	base-degraded thiamin salvage	2	1	4
PWY-6898	thiamin salvage III	1	1	3
PWY-6910	hydroxymethylpyrimidine salvage	2	2	6
PWY-6892	thiazole biosynthesis I (E. coli)	6	2	80
PWY-6891	thiazole biosynthesis II (Bacillus)	7	2	81
PWY-6894	thiamin diphosphate biosynthesis I (E. coli)	2	2	36
PWY-6893	thiamin diphosphate biosynthesis II (Bacillus)	2	2	36
PWY-6907	thiamin diphosphate biosynthesis III (Staphylococcus)	3	3	31
PWY-6908	thiamin diphosphate biosynthesis IV (eukaryotes)	3	3	31
PWY-6890	4-amino-2-methyl-5-diphosphomethylpyrimidine biosynthesis	2	2	4
RIBOSYN2-PWY	flavin biosynthesis I (bacteria and plants)	9	6	70
PWY-6167	flavin biosynthesis II (archaea)	10	4	45
