PWY_NAME	PWY_COMMON_NAME	NUM_REACTIONS	NUM_COVERED_REACTIONS	ORF_COUNT
PWY-1042	glycolysis IV (plant cytosol)	10	10	612
PWY66-400	glycolysis VI (mammalian)	10	9	664
PWY66-368	ketolysis	3	3	123
PWY-6118	glycerol-3-phosphate shuttle	2	2	105
PWY66-367	ketogenesis	5	5	152
PYRUVOX-PWY	pyruvate oxidation pathway	1	1	9
PWY0-1329	succinate to cytochrome bo oxidase electron transfer	2	2	154
PWY0-1335	NADH to cytochrome bo oxidase electron transfer	2	2	689
PWY0-1334	NADH to cytochrome bd oxidase electron transfer	2	2	618
PWY0-1353	succinate to cytochrome bd oxidase electron transfer	2	2	83
PWY0-1356	formate to dimethyl sulfoxide electron transfer	2	2	3
PWY0-1355	formate to trimethylamine N-oxide electron transfer	2	2	7
PWY0-1544	proline to cytochrome bo oxidase electron transfer	2	2	75
PWY-6859	all-trans-farnesol biosynthesis	4	4	65
PWY-5723	Rubisco shunt	10	10	552
GLYOXYLATE-BYPASS	glyoxylate cycle	6	6	418
ENTNER-DOUDOROFF-PWY	Entner-Doudoroff pathway I	2	2	21
PWY-6992	1,5-anhydrofructose degradation	2	1	10
PWY-7118	chitin degradation to ethanol	6	5	232
PWY-6728	methylaspartate cycle	18	15	1107
PWY-5741	ethylmalonyl pathway	10	6	212
PWY-4521	arsenite oxidation (respiratory)	1	1	14
PWY-6421	arsenate detoxification III (mycothiol)	4	1	10
PWY-4202	arsenate detoxification I (glutaredoxin)	7	5	52
PWY0-1299	arginine dependent acid resistance	1	1	37
PWY0-1305	glutamate dependent acid resistance	1	1	8
P641-PWY	phenylmercury acetate degradation	2	1	73
DETOX1-PWY	superoxide radicals degradation	2	2	134
PWY-6646	fluoroacetate degradation	1	1	5
PWY-6842	glutathione-mediated detoxification II	8	3	131
PWY-6966	methanol oxidation to formaldehyde I	1	1	1
PWY-6510	methanol oxidation to formaldehyde II	1	1	3
P185-PWY	formaldehyde assimilation III (dihydroxyacetone cycle)	12	12	595
PWY-1861	formaldehyde assimilation II (RuMP Cycle)	9	8	468
PWY-1622	formaldehyde assimilation I (serine pathway)	13	11	417
P42-PWY	incomplete reductive TCA cycle	7	7	622
PWY-5392	reductive TCA cycle II	12	10	758
CODH-PWY	reductive acetyl coenzyme A pathway	8	7	158
PWY-5743	3-hydroxypropionate cycle	11	9	397
PWY-5789	3-hydroxypropionate/4-hydroxybutyrate cycle	17	14	721
PWYQT-4429	CO2 fixation into oxaloacetate (anapleurotic)	2	2	80
PWY-5493	reductive monocarboxylic acid cycle	2	2	64
PWY-1722	formaldehyde oxidation V (tetrahydrofolate pathway)	4	3	92
PWY-1801	formaldehyde oxidation II (glutathione-dependent)	3	2	48
RUMP-PWY	formaldehyde oxidation I	6	4	128
PWY-1881	formate oxidation to CO2	1	1	136
CO2FORM-PWY	methanogenesis from methanol	2	1	5
PWY0-1317	L-lactaldehyde degradation (aerobic)	2	2	99
PWY-5386	methylglyoxal degradation I	3	3	90
PWY-901	methylglyoxal degradation II	2	2	76
PWY-5458	methylglyoxal degradation V	3	3	116
MGLDLCTANA-PWY	methylglyoxal degradation VI	4	1	161
PWY-5533	acetone degradation II (to acetoacetate)	2	2	98
PWY-5451	acetone degradation I (to methylglyoxal)	4	3	14
PWY-5138	unsaturated, even numbered fatty acid beta-oxidation	6	6	182
FAO-PWY	fatty acid beta-oxidation I	7	7	784
PWY-2724	alkane oxidation	6	1	69
PWY66-391	fatty acid beta-oxidation VI (peroxisome)	7	6	545
PWY-6837	fatty acid beta-oxidation V (unsaturated, odd number, di-isomerase-dependent)	5	4	29
PWY66-387	fatty acid alpha-oxidation II	6	4	351
PWY0-1337	oleate &beta-oxidation	3	2	30
PWY66-388	fatty acid &alpha-oxidation III	6	3	329
PWY-2501	fatty acid alpha-oxidation III	4	1	69
SOPHOROSYLOXYDOCOSANOATE-DEG-PWY	sophorolipid degradation	2	2	1
PWY3DJ-11470	sphingosine and sphingosine-1-phosphate metabolism	5	1	6
PWY-7119	sphingolipid recycling and degradation (yeast)	11	2	6
LIPAS-PWY	triacylglycerol degradation	4	2	30
PWY-5535	acetate formation from acetyl-CoA II	1	1	78
PWY0-1312	acetate formation from acetyl-CoA I	2	2	55
GLYOXDEG-PWY	glycolate and glyoxylate degradation II	2	2	93
PWY0-301	L-ascorbate degradation I (bacterial, anaerobic)	4	3	9
2OXOBUTYRATECAT-PWY	2-oxobutanoate degradation II	2	1	1
PWY-6695	oxalate degradation II	4	1	44
PWY-5794	malonate degradation I (biotin-independent)	3	1	1
PWY-6060	malonate degradation II (biotin-dependent)	4	1	5
PWY0-43	conversion of succinate to propionate	3	2	172
PWY0-42	2-methylcitrate cycle I	5	5	59
PWY-5747	2-methylcitrate cycle II	6	5	38
PROPIONMET-PWY	methylmalonyl pathway	3	3	276
PYRUVDEHYD-PWY	pyruvate decarboxylation to acetyl CoA	3	3	375
PWY0-1313	acetate conversion to acetyl-CoA	1	1	134
PWY0-1465	D-malate degradation	1	1	17
GLUCONSUPER-PWY	D-gluconate degradation	1	1	12
PWY-2361	3-oxoadipate degradation	2	2	32
PWY-5074	mevalonate degradation	2	2	22
PWY-5162	2-oxopentenoate degradation	3	3	44
PWY-5177	glutaryl-CoA degradation	5	5	374
PWY-5654	2-amino-3-carboxymuconate semialdehyde degradation to 2-oxopentenoate	4	4	8
PWY-6038	citrate degradation	5	2	24
PWY-5534	propylene degradation	7	2	3
PWY-6373	acrylate degradation	4	2	16
PWY-6021	nitrilotriacetate degradation	2	1	4
PWY-5652	2-amino-3-carboxymuconate semialdehyde degradation to glutaryl-CoA	4	2	5
PWY66-221	nicotine degradation III	18	4	10
PWY66-201	nicotine degradation IV	16	3	18
P181-PWY	nicotine degradation I	16	5	101
PWY-6993	nicotine degradation II	11	2	64
PWY-743	thiocyanate degradation II	2	1	1
PWY-723	alkylnitronates degradation	2	2	44
P221-PWY	octane oxidation	5	4	333
P344-PWY	acrylonitrile degradation	3	2	55
PWY66-241	bupropion degradation	5	1	10
PWY-6518	glycocholate metabolism (bacteria)	7	3	21
PWY-5744	glyoxylate assimilation	11	6	113
PWY-4061	glutathione-mediated detoxification I	5	3	131
PWY-7112	4-hydroxy-2-nonenal detoxification	4	2	131
PWY-6756	S-methyl-5'-thioadenosine degradation II	1	1	14
PWY-6754	S-methyl-5'-thioadenosine degradation I	2	2	6
PWY-7181	pyrimidine deoxyribonucleosides degradation	3	3	35
PWY0-1295	pyrimidine ribonucleosides degradation	2	2	20
PWY-7185	UTP and CTP dephosphorylation I	7	7	142
PWY-6426	uracil degradation II (oxidative)	3	1	1
PWY-6430	thymine degradation	3	2	26
PWY-6608	guanosine nucleotides degradation III	4	4	125
PWY-6607	guanosine nucleotides degradation I	4	3	107
PWY-6617	adenosine nucleotides degradation III	1	1	11
SALVADEHYPOX-PWY	adenosine nucleotides degradation II	5	4	137
PWY-6596	adenosine nucleotides degradation I	8	6	204
PWY-6019	pseudouridine degradation	2	2	26
PWY0-1296	purine ribonucleosides degradation	5	4	37
PWY-7179	purine deoxyribonucleosides degradation	4	3	36
P164-PWY	purine nucleobases degradation I (anaerobic)	17	9	333
PWY-5497	purine nucleobases degradation II (anaerobic)	22	13	495
PCEDEG-PWY	tetrachloroethene degradation	4	1	1
PCPDEG-PWY	pentachlorophenol degradation	6	2	3
12DICHLORETHDEG-PWY	1,2-dichloroethane degradation	4	3	34
CATECHOL-ORTHO-CLEAVAGE-PWY	catechol degradation to beta-ketoadipate	4	2	11
PWY-5419	catechol degradation to 2-oxopent-4-enoate II	4	2	3
PWY-283	benzoate degradation II (aerobic and anaerobic)	1	1	5
PWY-5055	nicotinate degradation III	9	3	14
PWY-6077	anthranilate degradation II (aerobic)	2	2	27
PWY-6079	anthranilate degradation I (aerobic)	1	1	1
P3-PWY	gallate degradation III (anaerobic)	11	4	492
PWY-6183	salicylate degradation I	1	1	2
PWY-6416	quinate degradation II	3	2	40
QUINATEDEG-PWY	quinate degradation I	3	2	34
PWY-6193	3-chlorocatechol degradation II (ortho)	5	2	44
PWY-6107	chlorosalicylate degradation	7	3	4
PWY-6200	2,4,5-trichlorophenoxyacetate degradation	9	3	4
PWY-1361	benzoyl-CoA degradation I (aerobic)	8	4	97
CENTBENZCOA-PWY	benzoyl-CoA degradation II (anaerobic)	6	3	7
P321-PWY	benzoyl-CoA degradation III (anaerobic)	9	4	17
PWY-1501	mandelate degradation I	5	4	14
SHIKIMATEDEG-PWY	shikimate degradation I	2	1	2
PWY-5691	urate degradation to allantoin	3	2	19
P141-PWY	atrazine degradation I (aerobic)	3	2	11
PWY-5726	deethylsimazine degradation	2	1	3
PWY-5645	4-chloronitrobenzene degradation	9	1	1
PWY-5418	phenol degradation I (aerobic)	1	1	1
PWY0-321	phenylacetate degradation I (aerobic)	9	4	304
PWY-1341	phenylacetate degradation II (anaerobic)	3	2	57
PWY-7046	4-coumarate degradation (anaerobic)	6	4	196
HCAMHPDEG-PWY	3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation to 2-oxopent-4-enoate	6	2	3
PWY-6690	cinnamate and 3-hydroxycinnamate degradation to 2-oxopent-4-enoate	6	2	3
PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY	protocatechuate degradation II (ortho-cleavage pathway)	4	4	35
P184-PWY	protocatechuate degradation I (meta-cleavage pathway)	8	3	5
TOLUENE-DEG-4-OH-PWY	toluene degradation to protocatechuate (via p-cresol)	4	2	9
TOLUENE-DEG-2-OH-PWY	toluene degradation to 2-oxopent-4-enoate I (via o-cresol)	4	1	1
PWY-5490	paraoxon degradation	1	1	11
PWY-5489	methyl parathion degradation	1	1	11
PWY-6184	methylsalicylate degradation	2	2	2
PWY-6550	carbazole degradation	4	1	2
PWY-6223	gentisate degradation	3	1	5
PARATHION-DEGRADATION-PWY	parathion degradation	2	1	11
PWY-5169	cyanurate degradation	3	2	13
PWY-5450	benzene degradation	2	1	1
PWY-6210	2-aminophenol degradation	4	3	4
4-HYDROXYMANDELATE-DEGRADATION-PWY	4-hydroxymandelate degradation	6	5	21
PWY-7002	4-hydroxyacetophenone degradation	5	4	7
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	4-hydroxyphenylacetate degradation	9	6	112
PWY-5988	wound-induced proteolysis I	1	1	115
PWY-6018	seed germination protein turnover	1	1	115
PWY-6423	hemoglobin degradation	7	1	10
TYRFUMCAT-PWY	tyrosine degradation I	5	5	62
PWY3O-4108	tyrosine degradation III	4	2	123
VALDEG-PWY	valine degradation I	8	8	314
PWY-5057	valine degradation II	3	2	200
PWY-1263	taurine degradation I	1	1	5
PWY0-981	taurine degradation IV	1	1	3
ORN-AMINOPENTANOATE-CAT-PWY	ornithine degradation I (proline biosynthesis)	1	1	42
CITRULLINE-DEG-PWY	citrulline degradation	2	2	83
PWY-701	methionine degradation II	1	1	9
METHIONINE-DEG1-PWY	methionine degradation I (to homocysteine)	3	2	161
PWY-5082	methionine degradation III	3	1	121
PWY-7158	phenylalanine degradation V	3	3	31
PHENYLALANINE-DEG1-PWY	phenylalanine degradation I (aerobic)	3	2	29
PWY-5079	phenylalanine degradation III	4	3	126
PWY-6318	phenylalanine degradation IV (mammalian, via side chain)	9	5	191
GLYCLEAV-PWY	glycine cleavage	3	3	332
ASPARAGINE-DEG1-PWY	asparagine degradation I	1	1	27
PWY-5159	4-hydroxyproline degradation II	4	3	19
HYDROXYPRODEG-PWY	4-hydroxyproline degradation I	4	3	29
PWY-5078	isoleucine degradation II	3	2	200
ILEUDEG-PWY	isoleucine degradation I	6	4	332
ARGDEG-III-PWY	arginine degradation IV (arginine decarboxylase/agmatine deiminase pathway)	3	3	60
ARG-GLU-PWY	arginine degradation VII (arginase 3 pathway)	2	2	52
AST-PWY	arginine degradation II (AST pathway)	5	5	72
ARGDEG-V-PWY	arginine degradation X (arginine monooxygenase pathway)	3	2	53
PWY-5742	arginine degradation IX (arginine:pyruvate transaminase pathway)	4	2	7
PWY-5766	glutamate degradation X	1	1	38
GLUDEG-I-PWY	glutamate degradation III (via 4-aminobutyrate)	3	3	94
PWY-5087	glutamate degradation VI (to pyruvate)	4	2	3
P162-PWY	glutamate degradation V (via hydroxyglutarate)	7	5	446
LCYSDEG-PWY	L-cysteine degradation II	1	1	11
PWY-5329	L-cysteine degradation III	2	2	7
MALATE-ASPARTATE-SHUTTLE-PWY	aspartate degradation II	2	2	171
THREONINE-DEG2-PWY	threonine degradation II	2	2	33
PWY-5436	threonine degradation IV	2	2	56
PWY-5437	threonine degradation I	4	3	58
PWY-5076	leucine degradation III	3	2	200
LEU-DEG2-PWY	leucine degradation I	6	5	170
PWY-1781	beta-alanine degradation II	2	1	19
BETA-ALA-DEGRADATION-I-PWY	beta-alanine degradation I	2	1	34
PWY-5030	histidine degradation III	6	6	128
PWY-5028	histidine degradation II	5	5	107
HISDEG-PWY	histidine degradation I	4	4	89
ALADEG-PWY	alanine degradation I	2	2	79
PWY1-2	alanine degradation IV	1	1	35
ALACAT2-PWY	alanine degradation II (to D-lactate)	3	2	129
PROUT-PWY	proline degradation	2	1	75
TRYPDEG-PWY	tryptophan degradation II (via pyruvate)	1	1	19
PWY-6307	tryptophan degradation X (mammalian, via tryptamine)	4	4	105
TRPCAT-PWY	tryptophan degradation I (via anthranilate)	3	3	33
PWY-5651	tryptophan degradation to 2-amino-3-carboxymuconate semialdehyde	5	5	41
PWY-5081	tryptophan degradation VIII (to tryptophol)	4	1	5
SERDEG-PWY	L-serine degradation	1	1	17
PWY0-1535	D-serine degradation	1	1	4
PWY-5314	lysine degradation VIII	2	1	2
LYSDEGII-PWY	lysine degradation III	6	1	6
PWY-5280	lysine degradation IV	5	2	11
P163-PWY	lysine fermentation to acetate and butyrate	10	6	464
PWY-6328	lysine degradation X	6	2	21
PWY-5298	lysine degradation VI	3	1	8
LYSINE-DEG1-PWY	lysine degradation II	6	3	26
GLUTAMINEFUM-PWY	glutamine degradation II	1	1	123
GLUTAMINDEG-PWY	glutamine degradation I	1	1	627
PWY-5084	2-oxoglutarate decarboxylation to succinyl-CoA	3	3	254
PWY-5046	2-oxoisovalerate decarboxylation to isobutanoyl-CoA	3	3	191
PWY-6344	ornithine degradation II (Stickland reaction)	9	4	72
PWY-6591	manganese oxidation I	2	1	11
PWY-5350	thiosulfate disproportionation III (rhodanese)	1	1	57
PWY-5352	thiosulfate disproportionation II (non thiol-dependent)	1	1	7
PWY-5277	thiosulfate disproportionation I (thiol-dependent)	1	1	7
PWY-5274	sulfide oxidation II (sulfide dehydrogenase)	1	1	1
SULFMETII-PWY	sulfate reduction II (assimilatory)	3	3	112
DISSULFRED-PWY	sulfate reduction IV (dissimilatory)	5	3	133
P224-PWY	sulfate reduction V (dissimilatory)	5	3	139
PWY-1281	sulfoacetaldehyde degradation I	2	2	33
PWY-6637	sulfolactate degradation II	4	3	35
PWY-6638	sulfolactate degradation III	4	2	113
PWY-5364	sulfur reduction II (via polysulfide)	2	1	9
PWY-5332	sulfur reduction I	1	1	3
PWY-5276	sulfite oxidation I (sulfite oxidoreductase)	1	1	40
PWY-5326	sulfite oxidation IV	1	1	9
PWY-5278	sulfite oxidation III	2	2	128
PWY-5358	tetrathionate reduction I (to thiosulfate)	1	1	2
PWY-6675	sulfur oxidation IV (intracellular sulfur)	5	1	5
FESULFOX-PWY	sulfur oxidation II (Fe<sup>+3</sup>-dependent)	3	1	9
PWY-6046	dimethylsulfoniopropionate degradation I (cleavage)	1	1	2
PWY-5340	sulfate activation for sulfonation	2	2	138
ALKANEMONOX-PWY	two-component alkanesulfonate monooxygenase	2	2	23
PHOSPHONOTASE-PWY	2-aminoethylphosphonate degradation I	3	3	35
PWY-6348	phosphate acquisition	1	1	24
PWY-6357	phosphate utilization in cell wall regeneration	1	1	24
P483-PWY	phosphonoacetate degradation	1	1	1
AMMOXID-PWY	ammonia oxidation I (aerobic)	2	2	3
PWY-6964	ammonia assimilation cycle II	2	2	277
PWY-6963	ammonia assimilation cycle I	2	2	159
PWY-5674	nitrate reduction IV (dissimilatory)	2	2	17
PWY490-3	nitrate reduction VI (assimilatory)	4	4	363
PWY-381	nitrate reduction II (assimilatory)	3	3	145
PWY-6748	nitrate reduction VII (denitrification)	4	4	146
DENITRIFICATION-PWY	nitrate reduction I (denitrification)	4	4	147
N2FIX-PWY	nitrogen fixation	1	1	93
PWY-4984	urea cycle	5	5	192
PWY-6523	intra-aerobic nitrite reduction	2	1	32
PWY-5934	iron reduction and absorption	2	1	3
PWY-6932	selenate reduction	5	2	103
PWY-4261	glycerol degradation I	2	2	130
PWY-6952	glycerophosphodiester degradation	2	2	103
PWY-6130	glycerol degradation III	2	2	9
PWY-6131	glycerol degradation II	2	2	11
GLYCEROLMETAB-PWY	glycerol degradation V	2	2	4
PWY-6388	(S,S)-butanediol degradation	1	1	5
PWY3O-246	(R,R)-butanediol degradation	1	1	4
PWY66-21	ethanol degradation II	3	3	354
PWY66-162	ethanol degradation IV	3	3	315
ETOH-ACETYLCOA-ANA-PWY	ethanol degradation I	2	2	156
PWY66-389	phytol degradation	4	4	420
CYCLOHEXANOL-OXIDATION-PWY	cyclohexanol degradation	5	3	23
PWY-5098	chlorophyll a degradation I	5	1	2
PWY-7164	chlorophyll a degradation III	3	1	2
PWY-6927	chlorophyll a degradation II	4	1	2
PWY-5874	heme degradation	2	2	6
DARABCAT-PWY	D-arabinose degradation II	3	3	92
DARABCATK12-PWY	D-arabinose degradation I	4	2	42
PWY-5519	D-arabinose degradation III	5	3	21
PWY-6317	galactose degradation I (Leloir pathway)	6	5	207
PWY-6693	galactose degradation IV	8	3	36
ARABCAT-PWY	L-arabinose degradation I	3	3	21
PWY-5517	L-arabinose degradation III	5	2	14
PWY-5515	L-arabinose degradation II	3	2	4
SUCROSEUTIL2-PWY	sucrose degradation II	3	1	2
SUCUTIL-PWY	sucrose degradation I	2	1	25
PWY66-373	sucrose degradation V (mammalian)	6	4	155
PWY-5384	sucrose degradation IV	5	3	156
PWY-621	sucrose degradation III	8	4	159
RHAMCAT-PWY	L-rhamnose degradation I	3	2	13
TREDEGLOW-PWY	trehalose degradation I (low osmolarity)	2	2	38
PWY0-1182	trehalose degradation II (trehalase)	3	3	55
PWY-2721	trehalose degradation III	2	2	33
PWY-2722	trehalose degradation IV	3	3	50
PWY-2723	trehalose degradation V	5	3	54
XYLCAT-PWY	xylose degradation I	2	2	87
PWY-6760	xylose degradation III	5	4	24
BGALACT-PWY	lactose degradation III	1	1	39
LACTOSEUTIL-PWY	lactose degradation II	3	2	41
LACTOSECAT-PWY	lactose and galactose degradation I	4	3	8
PWY0-1301	melibiose degradation	1	1	27
MANNCAT-PWY	D-mannose degradation	1	1	18
PWY-2221	Entner-Doudoroff pathway III (semi-phosphorylative)	10	10	430
P124-PWY	Bifidobacterium shunt	15	15	815
PWY-7180	2'-deoxy-alpha-D-ribose 1-phosphate degradation	3	3	54
MALTOSECAT-PWY	maltose degradation	2	2	40
PWY0-1314	fructose degradation	1	1	2
FUCCAT-PWY	fucose degradation	3	3	38
PWY0-1300	2-alpha-mannosyl-D-glycerate degradation	2	2	5
P302-PWY	L-sorbose degradation	2	2	4
PWY-1081	homogalacturonan degradation	2	2	4
PWY4FS-12	VTC2 cycle	2	1	5
NPGLUCAT-PWY	Entner-Doudoroff pathway II (non-phosphorylative)	10	8	303
PWY-3861	mannitol degradation II	3	2	21
PWY-6527	stachyose degradation	8	6	227
GLUCOSE1PMETAB-PWY	glucose and glucose-1-phosphate degradation	6	4	154
PWY-6788	cellulose degradation II (fungi)	3	2	125
PWY-6573	chondroitin sulfate degradation (metazoa)	4	3	81
PWY-6576	dermatan sulfate degradation (metazoa)	4	2	49
PWY-6717	(1,4)-beta-xylan degradation	2	2	15
PWY-6807	xyloglucan degradation II (exoglucanase)	6	3	39
PWY-6791	xyloglucan degradation I (endoglucanase)	6	3	39
PWY-6737	starch degradation V	6	5	205
PWY-6731	starch degradation III	5	3	125
PWY-6902	chitin degradation II	5	5	34
PWY-6906	chitin derivatives degradation	7	3	39
PWY-6855	chitin degradation I (archaea)	6	2	20
PWY-5941	glycogen degradation II	5	5	177
PWY-6816	agarose degradation	2	1	1
PWY-6815	porphyran degradation	6	2	1
PWY-6790	L-arabinan degradation	2	1	8
PWY-6986	alginate degradation	6	2	20
PWY0-1546	muropeptide degradation	4	1	4
CRNFORCAT-PWY	creatinine degradation I	4	4	100
PWY-4722	creatinine degradation II	5	4	177
PWY-5697	allantoin degradation to ureidoglycolate I (urea producing)	2	2	9
PWY-5704	urea degradation II	1	1	18
PWY-5703	urea degradation I	2	2	14
PWY-3602	carnitine degradation II	4	1	2
CARNMET-PWY	carnitine degradation I	4	2	7
PWY-6536	4-aminobutyrate degradation III	2	2	86
PWY-6537	4-aminobutyrate degradation II	2	2	88
PWY-6535	4-aminobutyrate degradation I	2	2	86
PWY-5022	4-aminobutyrate degradation V	8	7	431
PUTDEG-PWY	putrescine degradation I	2	2	5
PWY-3	putrescine degradation V	2	2	4
PWY-0	putrescine degradation III	4	2	99
PWY0-1221	putrescine degradation II	4	3	12
PWY-6967	methylamine degradation I	1	1	2
PWY0-1477	ethanolamine utilization	1	1	2
PWY-3661	glycine betaine degradation	5	5	177
PWY0-1324	N-acetylneuraminate and N-acetylmannosamine degradation	3	2	8
PWY6666-2	dopamine degradation	5	3	89
PWY-6672	cis-genanyl-CoA degradation	9	3	137
PWY-6670	citronellol degradation	4	3	6
PWY-7089	taxiphyllin bioactivation	1	1	72
PWY-6002	lotaustralin degradation	2	1	72
PWY-7092	neolinustatin bioactivation	3	2	72
PWY-3121	linamarin degradation	2	1	72
PWY-7091	linustatin bioactivation	4	2	72
PWY-5461	betanidin degradation	1	1	8
PWY-6999	theophylline degradation	9	2	63
PWY-31	canavanine degradation	2	1	10
GLUAMCAT-PWY	N-acetylglucosamine degradation I	2	2	35
PWY-6486	D-galacturonate degradation II	1	1	4
GALACTUROCAT-PWY	D-galacturonate degradation I	4	3	48
GLUCARDEG-PWY	D-glucarate degradation I	4	3	30
GALACTARDEG-PWY	D-galactarate degradation I	4	4	33
PWY-6497	D-galactarate degradation II	3	2	16
GLUCUROCAT-PWY	beta-D-glucuronide and D-glucuronate degradation	5	5	58
PWY-5525	D-glucuronate degradation I	4	2	2
IDNCAT-PWY	L-idonate degradation	3	3	32
DHGLUCONATE-PYR-CAT-PWY	glucose degradation (oxidative)	5	4	113
GALACTCAT-PWY	D-galactonate degradation	3	2	36
PWY-4781	phytate degradation II	8	1	1
PWY-4702	phytate degradation I	14	3	70
PWY-1741	indole-3-acetyl-ester conjugate biosynthesis	4	1	2
PWY-4101	sorbitol degradation I	1	1	11
LARABITOLUTIL-PWY	xylitol degradation	2	2	44
RIBITOLUTIL-PWY	ribitol degradation	3	3	57
SORBDEG-PWY	sorbitol degradation II	1	1	1
P562-PWY	myo-inositol degradation	6	4	35
PWY-6507	5-dehydro-4-deoxy-D-glucuronate degradation	4	4	48
PWY0-1261	1,6-anhydro-N-acetylmuramic acid recycling	2	2	33
PWY-6945	cholesterol degradation to androstenedione I (cholesterol oxidase)	17	7	351
PWY-6946	cholesterol degradation to androstenedione II (cholesterol dehydrogenase)	17	7	364
PWY-6948	sitosterol degradation to androstenedione	18	4	161
PWY-6944	androstenedione degradation	15	4	288
PWY-6943	testosterone and androsterone degradation to androstendione	3	1	15
PWY-6261	thyroid hormone metabolism II (via conjugation and/or degradation)	15	2	8
PWY-6398	melatonin degradation I	5	4	18
PWY-6342	noradrenaline and adrenaline degradation	13	8	202
PWY-6313	serotonin degradation	7	5	210
PWY-5755	4-hydroxybenzoate biosynthesis II (bacteria and fungi)	1	1	2
PWY-6435	4-hydroxybenzoate biosynthesis V	5	4	329
PWY-5754	4-hydroxybenzoate biosynthesis I (eukaryotes)	5	2	35
PWY-6164	3-dehydroquinate biosynthesis I	2	2	113
PWY-6163	chorismate biosynthesis from 3-dehydroquinate	6	6	162
PWY-5886	4-hydroxyphenylpyruvate biosynthesis	1	1	2
PWY-5901	2,3-dihydroxybenzoate biosynthesis	3	2	24
PYRIDNUCSYN-PWY	NAD biosynthesis I (from aspartate)	6	6	200
NAD-BIOSYNTHESIS-III	NAD biosynthesis III	2	2	8
PYRIDNUCSAL-PWY	NAD salvage pathway I	8	5	223
PWY-5083	NAD/NADH phosphorylation and dephosphorylation	6	3	651
PWY-5381	pyridine nucleotide cycling (plants)	11	6	263
NADPHOS-DEPHOS-PWY	NAD phosphorylation and dephosphorylation	3	2	107
PWY-5852	demethylmenaquinol-8 biosynthesis I	1	1	20
PWY-6262	demethylmenaquinol-8 biosynthesis II	5	2	2
PWY-6793	demethylmenaquinol-8 biosynthesis III	5	2	2
PWY-5853	demethylmenaquinol-6 biosynthesis	1	1	17
PWY-5851	demethylmenaquinol-9 biosynthesis	1	1	17
PWY-5849	menaquinol-6 biosynthesis	1	1	38
