PWY_NAME	PWY_COMMON_NAME	NUM_REACTIONS	NUM_COVERED_REACTIONS	ORF_COUNT
ARGDEG-V-PWY	arginine degradation X (arginine monooxygenase pathway)	3	1	6
ARGDEG-III-PWY	arginine degradation IV (arginine decarboxylase/agmatine deiminase pathway)	3	3	14
AST-PWY	arginine degradation II (AST pathway)	5	5	11
ARG-GLU-PWY	arginine degradation VII (arginase 3 pathway)	2	2	4
P162-PWY	glutamate degradation V (via hydroxyglutarate)	7	4	72
PWY-5087	glutamate degradation VI (to pyruvate)	4	1	1
GLUDEG-I-PWY	glutamate degradation III (via 4-aminobutyrate)	3	2	16
PWY-5766	glutamate degradation X	1	1	1
LCYSDEG-PWY	L-cysteine degradation II	1	1	1
MALATE-ASPARTATE-SHUTTLE-PWY	aspartate degradation II	2	2	20
THREONINE-DEG2-PWY	threonine degradation II	2	2	6
PWY-5436	threonine degradation IV	2	2	5
PWY-5076	leucine degradation III	3	2	21
LEU-DEG2-PWY	leucine degradation I	6	3	23
BETA-ALA-DEGRADATION-I-PWY	&beta;-alanine degradation I	2	1	4
PWY-5030	histidine degradation III	6	4	16
PWY-5028	histidine degradation II	5	4	13
ALACAT2-PWY	alanine degradation II (to D-lactate)	3	2	24
PWY1-2	alanine degradation IV	1	1	4
PROUT-PWY	proline degradation	2	1	16
TRPCAT-PWY	tryptophan degradation I (via anthranilate)	3	2	8
PWY-5651	tryptophan degradation to 2-amino-3-carboxymuconate semialdehyde	5	2	8
PWY-6307	tryptophan degradation X (mammalian, via tryptamine)	4	3	12
TRYPDEG-PWY	tryptophan degradation II (via pyruvate)	1	1	2
PWY0-1535	D-serine degradation	1	1	2
PWY-6328	lysine degradation X	6	1	1
P163-PWY	lysine fermentation to acetate and butyrate	10	6	189
LYSINE-DEG1-PWY	lysine degradation II	6	2	3
GLUTAMINEFUM-PWY	glutamine degradation II	1	1	6
GLUTAMINDEG-PWY	glutamine degradation I	1	1	90
PWY-6344	ornithine degradation II (Stickland reaction)	9	2	11
PWY-5046	2-oxoisovalerate decarboxylation to isobutanoyl-CoA	3	3	20
PWY-5084	2-oxoglutarate decarboxylation to succinyl-CoA	3	3	28
PWY-5350	thiosulfate disproportionation III (rhodanese)	1	1	3
PWY-6638	sulfolactate degradation III	4	1	18
PWY-5276	sulfite oxidation I (sulfite oxidoreductase)	1	1	2
PWY-5326	sulfite oxidation IV	1	1	1
PWY-5358	tetrathionate reduction I (to thiosulfate)	1	1	3
FESULFOX-PWY	sulfur oxidation II (Fe<sup>+3</sup>-dependent)	3	1	1
ALKANEMONOX-PWY	two-component alkanesulfonate monooxygenase	2	1	3
PWY-6642	(R)-cysteate degradation	4	1	18
PWY-5340	sulfate activation for sulfonation	2	2	16
PHOSPHONOTASE-PWY	2-aminoethylphosphonate degradation I	3	3	10
P483-PWY	phosphonoacetate degradation	1	1	4
PWY-6348	phosphate acquisition	1	1	7
PWY-6357	phosphate utilization in cell wall regeneration	1	1	7
AMMOXID-PWY	ammonia oxidation I (aerobic)	2	1	1
PWY-6964	ammonia assimilation cycle II	2	2	25
PWY-6963	ammonia assimilation cycle I	2	2	14
PWY-5674	nitrate reduction IV (dissimilatory)	2	2	5
PWY490-3	nitrate reduction VI (assimilatory)	4	4	35
PWY-381	nitrate reduction II (assimilatory)	3	3	22
DENITRIFICATION-PWY	nitrate reduction I (denitrification)	4	3	18
PWY-6748	nitrate reduction VII (denitrification)	4	3	14
PWY-6523	intra-aerobic nitrite reduction	2	1	1
PWY-4984	urea cycle	5	4	13
N2FIX-PWY	nitrogen fixation	1	1	6
PWY-6932	selenate reduction	5	1	13
PWY-4261	glycerol degradation I	2	1	10
PWY-6952	glycerophosphodiester degradation	2	1	6
GLYCEROLMETAB-PWY	glycerol degradation V	2	1	1
PWY-6131	glycerol degradation II	2	1	2
PWY66-21	ethanol degradation II	3	3	33
PWY66-162	ethanol degradation IV	3	3	25
ETOH-ACETYLCOA-ANA-PWY	ethanol degradation I	2	2	17
PWY-5874	heme degradation	2	2	5
DARABCAT-PWY	D-arabinose degradation II	3	3	17
PWY-6693	galactose degradation IV	8	2	3
PWY-6317	galactose degradation I (Leloir pathway)	6	4	27
PWY-5517	L-arabinose degradation III	5	1	1
PWY-5515	L-arabinose degradation II	3	1	1
ARABCAT-PWY	L-arabinose degradation I	3	3	9
PWY66-373	sucrose degradation V (mammalian)	6	3	20
PWY-5384	sucrose degradation IV	5	3	19
PWY-621	sucrose degradation III	8	3	20
SUCROSEUTIL2-PWY	sucrose degradation II	3	1	1
RHAMCAT-PWY	L-rhamnose degradation I	3	1	2
TREDEGLOW-PWY	trehalose degradation I (low osmolarity)	2	2	15
XYLCAT-PWY	xylose degradation I	2	2	11
LACTOSEUTIL-PWY	lactose degradation II	3	2	2
BGALACT-PWY	lactose degradation III	1	1	1
P124-PWY	Bifidobacterium shunt	15	13	111
PWY-2221	Entner-Doudoroff pathway III (semi-phosphorylative)	10	9	51
GLUCOSE1PMETAB-PWY	glucose and glucose-1-phosphate degradation	6	5	26
NPGLUCAT-PWY	Entner-Doudoroff pathway II (non-phosphorylative)	10	8	40
PWY-6527	stachyose degradation	8	4	22
MANNCAT-PWY	D-mannose degradation	1	1	2
PWY-7180	2'-deoxy-&alpha;-D-ribose 1-phosphate degradation	3	3	8
RIBOKIN-PWY	ribose degradation	3	2	6
PWY-6788	cellulose degradation II (fungi)	3	2	17
PWY-6573	chondroitin sulfate degradation (metazoa)	4	2	17
PWY-6576	dermatan sulfate degradation (metazoa)	4	2	12
PWY-6717	(1,4)-&beta;-xylan degradation	2	1	5
PWY-6807	xyloglucan degradation II (exoglucanase)	6	3	1
PWY-6791	xyloglucan degradation I (endoglucanase)	6	3	1
PWY-6731	starch degradation III	5	4	19
PWY-6737	starch degradation V	6	6	39
PWY-6906	chitin derivatives degradation	7	4	14
PWY-6902	chitin degradation II	5	5	19
PWY-5941	glycogen degradation II	5	4	28
PWY-6986	alginate degradation	6	1	2
PWY0-1546	muropeptide degradation	4	1	4
PWY-4722	creatinine degradation II	5	2	9
CRNFORCAT-PWY	creatinine degradation I	4	2	8
PWY-5703	urea degradation I	2	1	5
PWY-5704	urea degradation II	1	1	6
PWY-5022	4-aminobutyrate degradation V	8	3	63
PWY-6536	4-aminobutyrate degradation III	2	2	9
PWY-0	putrescine degradation III	4	2	12
PWY0-1324	N-acetylneuraminate and N-acetylmannosamine degradation	3	2	3
PWY6666-2	dopamine degradation	5	2	9
2PHENDEG-PWY	phenylethylamine degradation I	2	1	2
PWY0-1477	ethanolamine utilization	1	1	1
PWY-6002	lotaustralin degradation	2	1	9
PWY-7092	neolinustatin bioactivation	3	2	9
PWY-3121	linamarin degradation	2	1	9
PWY-7091	linustatin bioactivation	4	2	9
PWY-7089	taxiphyllin bioactivation	1	1	9
PWY-5461	betanidin degradation	1	1	2
PWY-31	canavanine degradation	2	1	1
GLUAMCAT-PWY	N-acetylglucosamine degradation I	2	2	11
GALACTUROCAT-PWY	D-galacturonate degradation I	4	2	3
PWY-6499	D-glucarate degradation II	3	2	10
GLUCARDEG-PWY	D-glucarate degradation I	4	3	14
GLUCUROCAT-PWY	&beta;-D-glucuronide and D-glucuronate degradation	5	2	6
IDNCAT-PWY	L-idonate degradation	3	2	3
GALACTCAT-PWY	D-galactonate degradation	3	1	1
DHGLUCONATE-PYR-CAT-PWY	glucose degradation (oxidative)	5	3	9
PWY-4781	phytate degradation II	8	1	2
PWY-4702	phytate degradation I	14	3	7
RIBITOLUTIL-PWY	ribitol degradation	3	3	7
PWY0-1261	1,6-anhydro-N-acetylmuramic acid recycling	2	2	16
PWY-6946	cholesterol degradation to androstenedione II (cholesterol dehydrogenase)	17	6	49
PWY-6948	sitosterol degradation to androstenedione	18	4	24
PWY-6944	androstenedione degradation	15	3	32
PWY-6943	testosterone and androsterone degradation to androstendione	3	1	2
PWY-6398	melatonin degradation I	5	2	6
PWY-6342	noradrenaline and adrenaline degradation	13	8	20
PWY-6313	serotonin degradation	7	3	20
PWY-6435	4-hydroxybenzoate biosynthesis V	5	4	33
PWY-5755	4-hydroxybenzoate biosynthesis II (bacteria and fungi)	1	1	1
PWY-6164	3-dehydroquinate biosynthesis I	2	2	44
PWY-6163	chorismate biosynthesis from 3-dehydroquinate	6	6	28
PWY-5901	2,3-dihydroxybenzoate biosynthesis	3	3	27
PYRIDNUCSAL-PWY	NAD salvage pathway I	8	4	13
PYRIDNUCSYN-PWY	NAD biosynthesis I (from aspartate)	6	6	15
PWY-5083	NAD/NADH phosphorylation and dephosphorylation	6	3	57
PWY-5381	pyridine nucleotide cycling (plants)	11	5	25
NADPHOS-DEPHOS-PWY	NAD phosphorylation and dephosphorylation	3	2	16
PWY-5852	demethylmenaquinol-8 biosynthesis I	1	1	2
PWY-5853	demethylmenaquinol-6 biosynthesis	1	1	2
PWY-5851	demethylmenaquinol-9 biosynthesis	1	1	2
PWY-5839	menaquinol-7 biosynthesis	2	1	11
PWY-5890	menaquinol-10 biosynthesis	2	1	11
PWY-5849	menaquinol-6 biosynthesis	1	1	9
PWY-5844	menaquinol-9 biosynthesis	1	1	9
MENAQUINONESYN-PWY	menaquinol-8 biosynthesis	1	1	9
PWY-5891	menaquinol-11 biosynthesis	2	2	11
PWY-5895	menaquinol-13 biosynthesis	2	2	11
PWY-5892	menaquinol-12 biosynthesis	2	2	11
PWY-5870	ubiquinol-8 biosynthesis (eukaryotic)	9	4	7
PWY-6708	ubiquinol-8 biosynthesis (prokaryotic)	8	4	11
PWY-5837	1,4-dihydroxy-2-naphthoate biosynthesis I	7	6	35
PWY-6857	retinol biosynthesis	7	4	10
PWY-6268	adenosylcobalamin salvage from cobalamin	1	1	1
PWY-5508	adenosylcobalamin biosynthesis from cobyrinate a,c-diamide II	9	8	16
PWY-5509	adenosylcobalamin biosynthesis from cobyrinate a,c-diamide I	8	8	16
PWY-6578	7-keto-8-aminopelargonate biosynthesis III	2	1	5
PWY-6519	7-keto-8-aminopelargonate biosynthesis I	11	4	32
PWY0-1507	biotin biosynthesis from 7-keto-8-aminopelargonate	3	3	12
PYRIDOXSYN-PWY	pyridoxal 5'-phosphate biosynthesis I	8	6	32
PWY-7204	vitamin B6 salvage (plants)	9	6	6
PWY-882	L-ascorbate biosynthesis I (L-galactose pathway)	8	3	20
PWY3DJ-35471	L-ascorbate biosynthesis IV	7	4	27
PWY-5521	L-ascorbate biosynthesis III	4	1	1
PWY-6147	6-hydroxymethyl-dihydropterin diphosphate biosynthesis I	5	3	8
PWY-2201	folate transformations I	12	8	49
1CMET2-PWY	formylTHF biosynthesis I	12	10	57
PWY-6613	tetrahydrofolate salvage from 5,10-methenyltetrahydrofolate	2	2	9
PWY-6543	4-aminobenzoate biosynthesis	2	2	9
PWY-2161	folate polyglutamylation	5	5	20
PWY-6614	tetrahydrofolate biosynthesis	3	3	8
PANTO-PWY	phosphopantothenate biosynthesis I	4	3	5
PWY-6910	hydroxymethylpyrimidine salvage	2	1	1
PWY-6898	thiamin salvage III	1	1	1
PWY-6896	thiamin salvage I	2	2	5
PWY-6892	thiazole biosynthesis I (E. coli)	6	2	25
PWY-6891	thiazole biosynthesis II (Bacillus)	7	3	27
PWY-6890	4-amino-2-methyl-5-diphosphomethylpyrimidine biosynthesis	2	1	1
PWY-6893	thiamin diphosphate biosynthesis II (Bacillus)	2	2	12
PWY-6894	thiamin diphosphate biosynthesis I (E. coli)	2	2	12
PWY-6907	thiamin diphosphate biosynthesis III (Staphylococcus)	3	3	12
PWY-6908	thiamin diphosphate biosynthesis IV (eukaryotes)	3	3	12
RIBOSYN2-PWY	flavin biosynthesis I (bacteria and plants)	9	7	36
PWY-1422	vitamin E biosynthesis	7	3	3
PWY-5123	trans, trans-farnesyl diphosphate biosynthesis	3	2	4
NONMEVIPP-PWY	methylerythritol phosphate pathway	9	8	27
PWY-5785	di-trans,poly-cis-undecaprenyl phosphate biosynthesis	1	1	5
PWY-5122	geranyl diphosphate biosynthesis	1	1	3
PWY-5805	nonaprenyl diphosphate biosynthesis I	1	1	1
PWY-5783	octaprenyl diphosphate biosynthesis	1	1	2
PWY-6643	coenzyme M biosynthesis II	6	1	18
P261-PWY	coenzyme M biosynthesis I	7	2	4
PWY-5664	tetrahydrobiopterin biosynthesis II	4	2	4
PWY-6823	molybdenum cofactor biosynthesis	7	3	22
THIOREDOX-PWY	thioredoxin pathway	2	1	10
PWY-4181	glutathione amide metabolism	3	1	1
GLUT-REDOX-PWY	glutathione redox reactions II	2	1	3
PWY-4081	glutathione redox reactions I	3	3	8
GLUTATHIONESYN-PWY	glutathione biosynthesis	2	2	10
COA-PWY	coenzyme A biosynthesis	4	3	7
PWY-5189	tetrapyrrole biosynthesis II (from glycine)	4	3	16
PWY-5188	tetrapyrrole biosynthesis I (from glutamate)	6	5	32
PWY-6987	lipoate biosynthesis and incorporation III (Bacillus)	3	2	8
PWY-6984	lipoate salvage II	4	2	2
PWY0-501	lipoate biosynthesis and incorporation I	2	2	8
PWY0-522	lipoate salvage I	2	2	2
CHLOROPHYLL-SYN	chlorophyllide a biosynthesis I	10	8	41
PWY-7159	chlorophyllide a biosynthesis III	10	8	40
PWY-5531	chlorophyllide a biosynthesis II	10	8	40
HEMESYN2-PWY	heme biosynthesis from uroporphyrinogen-III II	4	3	38
HEME-BIOSYNTHESIS-II	heme biosynthesis from uroporphyrinogen-III I	4	4	26
PWY-5194	siroheme biosynthesis	4	4	7
P241-PWY	coenzyme B biosynthesis	16	1	3
PWY-5207	coenzyme B/coenzyme M regeneration	3	1	5
PWY-5198	factor 420 biosynthesis	5	1	1
PWY-5917	phycocyanobilin biosynthesis	2	1	3
PWY-5499	vitamin B6 degradation	9	1	4
PWY-6012	acyl carrier protein metabolism	2	2	6
SAM-PWY	S-adenosyl-L-methionine biosynthesis	1	1	9
PWY-5964	guanylyl molybdenum cofactor biosynthesis	1	1	5
PWY0-1338	polymyxin resistance	6	3	5
PWY-6387	UDP-N-acetylmuramoyl-pentapeptide biosynthesis III (meso-DAP-containing)	8	7	38
PWY-6386	UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)	8	6	30
PWY-6461	peptidoglycan cross-bridge biosynthesis II (E. faecium)	2	1	2
PWY-6397	mycolyl-arabinogalactan-peptidoglycan complex biosynthesis	17	2	18
TEICHOICACID-PWY	teichoic acid (poly-glycerol) biosynthesis	8	3	14
ECASYN-PWY	enterobacterial common antigen biosynthesis	9	5	35
PWY-761	rhizobactin 1021 biosynthesis	6	2	7
AEROBACTINSYN-PWY	aerobactin biosynthesis	4	2	6
PWY-6032	cardenolide biosynthesis	5	1	2
KDOSYN-PWY	KDO transfer to lipid IVA I	2	1	4
PWY0-1545	cardiolipin biosynthesis III	3	3	16
PWY-5668	cardiolipin biosynthesis I	3	3	16
PWY-5269	cardiolipin biosynthesis II	3	3	16
PWY-5669	phosphatidylethanolamine biosynthesis I	2	2	9
PWY0-1319	CDP-diacylglycerol biosynthesis II	4	4	27
PWY-5667	CDP-diacylglycerol biosynthesis I	4	4	27
PWY-6349	CDP-archaeol biosynthesis	4	1	1
PWY-7039	phosphatidate metabolism, as a signaling molecule	5	3	10
PWY-6000	&gamma;-linolenate biosynthesis II (animals)	2	2	28
PWY-5971	palmitate biosynthesis II (bacteria and plants)	29	21	39
PWY-5994	palmitate biosynthesis I (animals and fungi)	30	22	53
PWY-5995	linoleate biosynthesis I (plants)	3	1	25
PWY0-541	cyclopropane fatty acid (CFA) biosynthesis	1	1	4
PWY-7049	eicosapentaenoate biosynthesis II (metazoa)	5	2	27
PWY-5367	petroselinate biosynthesis	6	1	28
PWY-5353	arachidonate biosynthesis	8	3	30
PWY-6951	docosahexanoate biosynthesis II	15	4	38
PWY-7053	docosahexanoate biosynthesis I	16	5	43
PWY-5989	stearate biosynthesis II (bacteria and plants)	5	4	34
PWY3O-355	stearate biosynthesis III (fungi)	6	5	30
PWY-6282	palmitoleate biosynthesis I	9	4	27
PWY-5996	oleate biosynthesis II (animals and fungi)	2	1	4
PWY-5147	oleate biosynthesis I (plants)	2	1	1
PWY-6799	fatty acid biosynthesis (plant mitochondria)	4	1	6
FASYN-ELONG-PWY	fatty acid elongation -- saturated	5	4	34
PWY0-862	cis-dodecenoyl biosynthesis	6	1	16
PWY-5973	cis-vaccenate biosynthesis	5	2	33
PWY-6465	&omega;-hydroxylation of caprate and laurate	4	1	2
PWYG-321	mycolate biosynthesis	188	54	39
PWY-5966	fatty acid biosynthesis initiation II	2	2	14
PWY-5970	fatty acids biosynthesis (yeast)	1	1	2
LIPA-CORESYN-PWY	Lipid A-core biosynthesis	10	1	3
NAGLIPASYN-PWY	lipid IVA biosynthesis	6	5	16
PWY-6803	phosphatidylcholine acyl editing	4	2	28
TRIGLSYN-PWY	triacylglycerol biosynthesis	6	3	27
PWY0-1264	biotin-carboxyl carrier protein assembly	4	3	14
KDO-LIPASYN-PWY	(KDO)2-lipid A biosynthesis I	2	2	2
PWY-5143	fatty acid activation	1	1	25
PWY-5148	acyl-CoA hydrolysis	1	1	2
UDPNAGSYN-PWY	UDP-N-acetyl-D-glucosamine biosynthesis I	4	3	22
BSUBPOLYAMSYN-PWY	spermidine biosynthesis I	2	2	8
PWY-6004	glycine betaine biosynthesis V (from glycine)	3	2	1
BETSYN-PWY	glycine betaine biosynthesis I (Gram-negative bacteria)	2	2	6
CHOLINE-BETAINE-ANA-PWY	choline degradation I	2	2	6
PWY-6305	putrescine biosynthesis IV	4	3	14
PWY-43	putrescine biosynthesis II	3	3	14
PWY-5514	UDP-N-acetyl-D-galactosamine biosynthesis II	7	3	22
PWY-6562	norspermidine biosynthesis	6	4	33
P101-PWY	ectoine biosynthesis	5	5	34
PWY-6173	histamine biosynthesis	1	1	3
PWY0-823	arginine degradation III (arginine decarboxylase/agmatinase pathway)	2	2	14
PWY-5695	urate biosynthesis/inosine 5'-phosphate degradation	4	4	30
ARGSPECAT-PWY	spermine biosynthesis	2	2	4
ASPARAGINE-BIOSYNTHESIS	asparagine biosynthesis I	1	1	25
ASPARAGINESYN-PWY	asparagine biosynthesis II	1	1	27
VALSYN-PWY	valine biosynthesis	4	4	41
PWY-6196	serine racemization	2	2	3
SERSYN-PWY	serine biosynthesis	3	3	19
